CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2003,Cádiz,Trebujena,003-00048-00-A1,CAMPIÑA DE CADIZ,Pol. 003,10,2,Albarizas,Secano,No,Palomino Fino,Palomino California,161-49 Couderc,Vara y pulgar simple,"1,70 X 1,30",4524,Espaldera vertical
2005,Cádiz,Chiclana de la Frontera,006-00144-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/05,"4,47",,Barros,Secano,,Palomino Fino,,,Rastra,1.60 x 1.10,,
2005,Cádiz,Chiclana de la Frontera,006-00510-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/05,"1,80",,Barros,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar simple,"1,20 X 1,80",,Espaldera vertical
2005,Cádiz,Chiclana de la Frontera,009-00008-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/05,"1,85",,Barros,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar simple,"1,80 X 1,20",,Espaldera vertical
2005,Cádiz,Chiclana de la Frontera,009-00042-00-B0,COSTA NOROESTE DE CADIZ - II,CA/VD/05,"2,85",,Barros,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar simple,"2,00 X 1,00",,Espaldera vertical
2005,Cádiz,Chipiona,005-00001-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,506",0,Arenas,Secano,No,Palomino Fino,,130-Ruggeri,Vara y pulgar jerezana,"2,20 X 1,20",,
2005,Cádiz,Chipiona,007-00035-00-B1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,1,0,Franco-arenoso,Secano,No,Tempranillo,,420-A Millardet y Grasset,Cordón doble,"2,30 X 1,15",3780,Espaldera vertical
2005,Cádiz,Chipiona,009-00084-00-B1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,227",,Barros,Secano,No,Syrah,,140 Ruggeri,Vara y pulgar jerezana,"2,20 x 1,15",3952,Espaldera vertical
2005,Cádiz,Chipiona,009-00088-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,580",0,Arenas,Secano,No,Palomino de Jerez,,161-49 Couderc,Vara y pulgar jerezana,"1,15 X 2,40",,
2005,Cádiz,Chipiona,009-00133-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,352",,,,,Listán,,,,,,
2005,Cádiz,Chipiona,011-00131-00--1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,532",,,Secano,,,,,,,,
2005,Cádiz,Chipiona,013-00064-00-00,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,4",,,,,Moscatel de Alejandría,,,,,,
2005,Cádiz,Chipiona,018-00064-00--1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,859",,,Secano,,Moscatel de Alejandría,,110 Richter,,"2,2 X 1,2",,
2005,Cádiz,Chipiona,018-00101-00--1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,242",,,Secano,,,,,,,,
2005,Cádiz,Chipiona,018-00183-00-B3,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,354",,,,No,Tempranillo,,110 Richter,,"2,30 x 1,10",3952,
2005,Cádiz,Chipiona,019-00039-00--1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"1,496",,,Secano,,Moscatel de Alejandría,,110 Richter,,"2,00 X 1,00",,
2005,Cádiz,Chipiona,019-00042-00--1,COSTA NOROESTE DE CADIZ - II,CA/VD/02,"0,223",,,Secano,,Moscatel de Alejandría,,,,,,
2005,Cádiz,Jerez de la Frontera,002-00103-00-00,CAMPIÑA DE CADIZ,CA/VD/03,20,5,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,003-00012-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"49,15",8,,,No,Palomino Fino,,,,"2,40 X 1,10",3623,
2005,Cádiz,Jerez de la Frontera,003-00014-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"82,36",8,,,No,Palomino Fino,,,,"2,40 X 1,10",3623,
2005,Cádiz,Jerez de la Frontera,003-00016-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"82,36",8,,,No,Palomino Fino,,,,"2,40 X 1,10",3623,
2005,Cádiz,Jerez de la Frontera,003-00039-00-31,CAMPIÑA DE CADIZ,CA/VD/03,"50,25",9,,,No,Palomino Fino,,,,"2,40 X 1,10",3623,
2005,Cádiz,Jerez de la Frontera,003-00106-00-00,CAMPIÑA DE CADIZ,CA/VD/03,18,4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,2.40 x 1.15,3600,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,005-00066-00-A1,CAMPIÑA DE CADIZ,CA/VD/03,"6,958",5,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,20 X 1,20 y 2,20X 1,50",3623,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,005-00067-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"17,58",2,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,30 X 1,10",3953,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,005-00078-00-00,CAMPIÑA DE CADIZ,CA/VD/03,8,6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00079-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"37,30",6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00085-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"26,7",6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00086-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"8,5",6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00095-00-32,CAMPIÑA DE CADIZ,CA/VD/03,"32,03",6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00098-00-A1,CAMPIÑA DE CADIZ,CA/VD/03,"9,15",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,,,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,005-00117-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"23,72",3,,,No,Palomino Fino,,13-5 EVEX,,2.4X1.05,3968,
2005,Cádiz,Jerez de la Frontera,005-00120-00-00,CAMPIÑA DE CADIZ,CA/VD/03,56,6,,,No,Palomino Fino,,161-49 Couderc,,"2,40 X 1,20",3472,
2005,Cádiz,Jerez de la Frontera,005-00193-00-12,CAMPIÑA DE CADIZ,CA/VD/03,"9,44",3,,,No,Palomino Fino,,41-B Millardet y Grasset,,2.4X1.05,3968,
2005,Cádiz,Jerez de la Frontera,013-00001-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"33,24",5,,,No,Palomino Fino,,13-5 EVEX,,"2,20 X 1.15",3952,
2005,Cádiz,Jerez de la Frontera,013-00015-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"14,54",5,,,No,Palomino Fino,,13-5 EVEX,,"2,20 X 1.15",3952,
2005,Cádiz,Jerez de la Frontera,013-00016-00-13,CAMPIÑA DE CADIZ,CA/VD/03,"9,05",7,,,No,Palomino Fino,,13-5 EVEX,,"2,20 X 1,10",3952,
2005,Cádiz,Jerez de la Frontera,014-00001-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"40,47",5,,,No,Palomino Fino,,13-5 EVEX,,"2,20 X 1.15",3952,
2005,Cádiz,Jerez de la Frontera,020-00027-00-00,CAMPIÑA DE CADIZ,CA/VD/03,,,,,,,,,,,,
2005,Cádiz,Jerez de la Frontera,085-00020-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"4,158",3,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3846,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,088-00001-00-33,CAMPIÑA DE CADIZ,CA/VD/03,"19,40",8,,,No,Palomino Fino,,161-49 Couderc,,2.5X1.15,3478,
2005,Cádiz,Jerez de la Frontera,088-00002-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"19,45",8,,,No,Palomino Fino,,161-49 Couderc,,2.5X1.15,3478,
2005,Cádiz,Jerez de la Frontera,094-00002-00-26,CAMPIÑA DE CADIZ,CA/VD/03,"36,29",7,,,No,Palomino Fino,,13-5 EVEX,,"2,30 X 1,15",3773,
2005,Cádiz,Jerez de la Frontera,094-00011-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"19,67",7,,,No,Palomino de Jerez,,41-B Millardet y Grasset,,"2,30 X 1,15",3773,
2005,Cádiz,Jerez de la Frontera,094-00048-00-17,CAMPIÑA DE CADIZ,CA/VD/03,"13,48",2,,,No,Palomino Fino,,13-5 EVEX,,"2,30 X 1,15",3780,
2005,Cádiz,Jerez de la Frontera,096-00006-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"21,21",5,,,No,Palomino Fino,,140 Ruggeri,,"2,20 X 1,10",,
2005,Cádiz,Jerez de la Frontera,096-00008-00-A5,CAMPIÑA DE CADIZ,CA/VD/03,"9,26",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,20 x 1,30",3500,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,096-00021-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"20,12",5,,,No,Palomino Fino,,13-5 EVEX,,"2,30 X 1,15",3780,
2005,Cádiz,Jerez de la Frontera,097-00042-00-20,CAMPIÑA DE CADIZ,CA/VD/03,"6,05",3,,,No,Palomino Fino,,13-5 EVEX,,"1,20 X 2,30",3625,
2005,Cádiz,Jerez de la Frontera,097-00069-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"7,790",,Albarizas,Secano,No,Palomino de Jerez,,161-49 Couderc,Vara y pulgar jerezana,"2,30 X 1,15",3700,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,097-00100-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"7,472",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,098-00003-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"25,71",8,,,No,Palomino Fino,,110 Richter,,"2,40 X 1,10",3623,
2005,Cádiz,Jerez de la Frontera,099-00024-00-04,CAMPIÑA DE CADIZ,CA/VD/03,15,4,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,"Vara y pulgar, Cordón",2.40 x 1.15,3600,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,100-00029-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"5,22",15,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,101-00008-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"51,6",8,,,No,Palomino Fino,,110 Richter,,"1,15 X 2,40",3623,
2005,Cádiz,Jerez de la Frontera,101-00066-00-10,CAMPIÑA DE CADIZ,CA/VD/03,"18,74",1,Arcillo.limoso,Secano,No,Palomino Fino,610 - VD,161-49 Couderc,Vara y pulgar jerezana,"2,40 X 1,15",3623,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,101-00066-00-20,CAMPIÑA DE CADIZ,CA/VD/03,"17,63",1,Arcillo.limoso,Secano,No,Palomino Fino,610 - VD,161-49 Couderc,Vara y pulgar jerezana,"2,40 X 1,15",3623,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,101-00091-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"2,236",,Arcillo.limoso,Secano,No,Palomino Fino,,161-49 Couderc,Vara y pulgar jerezana,"2,30 X 1,15",3700,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,101-00106-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"2,15",,Albarizas,Secano,No,Palomino Fino,,161-49 Couderc y 140 Ruggeri,Vara y pulgar jerezana,"2,00 X 1,30",3800,Espaldera vertical
2005,Cádiz,Jerez de la Frontera,102-00002-00-00,CAMPIÑA DE CADIZ,CA/VD/03,"7,970",5,Albarizas,Secano,No,Palomino Fino,California,161-49 Couderc,Vara y pulgar jerezana,"2,20 X 1,20",3788,Espaldera vertical
