PROVINCIA,MUNICIPIO,CODPARCELA,FECHA,_103_Fenología_B2_Yema_hinchada_,_104_Fenología_C_Punta_verde_,_105_Fenología_D_Hojas_incipientes_,_106_Fenología_E_Hojas_extendidas_,_301_Araña_a_T_urticae_cepas_con_presencia,_302_Araña_a_T_urticae_hojas_inferior_con_presencia,_317_Erinosis_E_vitis_cepas_con_presencia,_401_Lobesia_n_adultos_trampa_feromona_y_día,_405_Lobesia_racimos_con_puestas,_001_Gusanos_grises_yemas_con_daño,_101_Altica_n_de_adultos_hojas,_406_Caracoles_hojas_y_brotes_dañados,_409_Oruga_peluda_yemas_con_larvas,_418_Roedores_cepas_afectadas
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-03-25T00:00:00,1,2,1,1,0,0,0,0,0,0,0,0,0,0
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-04-07T00:00:00,,1,1,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-04-22T00:00:00,,,1,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-04-29T00:00:00,,,,1,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-05-06T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-05-20T00:00:00,,,,,0,0,0,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-05-27T00:00:00,,,,,4,0,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-06-03T00:00:00,,,,,0,0,0,0.33,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-06-10T00:00:00,,,,,8,0,0,0.71,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-06-17T00:00:00,,,,,20,10,4,0.5,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-06-24T00:00:00,,,,,20,10,4,0.15,0,,4,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-07-01T00:00:00,,,,,20,10,4,0,0,,0,,,
Cádiz,Arcos de la Frontera,015-00005-00-00,2009-07-15T00:00:00,,,,,20,10,4,0,0,,0,,,
