FECHA,PROVINCIA,MUNICIPIO,CODPARCELA,Feno_B2_Yema_hinchada,Feno_C_Punta_verde,Feno_E_Hojas_extendidas,Feno_D_Hojas_incipientes,Plaga_aranya,Plaga_Aranya_hojas,Plaga_Erinosis,Plaga_Lobesia_adultos,Plaga_Lobesia_racimos,Plaga_Caracoles,Plaga_Oruga,Plaga_Roedores,Pendiente,Variedad
2020-03-11 00:00:00,Córdoba,Montilla,021-00017-01,1,1,1,1,0,0,,,,,0,,,
2020-03-25 00:00:00,Córdoba,Montilla,021-00017-01,,,1,1,0,0,0,,,,,,,
2020-04-20 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,1,0,,,5,,
2020-04-27 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,1,0,,,5,,
2020-05-04 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,,,5,,
2020-05-11 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,,,4,,
2020-05-18 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,,,4,,
2020-05-25 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,,,4,,
2020-06-01 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.28,0,0,,4,,
2020-06-08 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.28,0,0,,4,,
2020-06-15 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.28,0,0,,4,,
2020-06-22 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,4,0,,4,,
2020-06-29 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,0,,4,,
2020-07-06 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.14,0,0,,4,,
2020-07-15 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.28,0,0,,4,,
2020-07-20 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.28,0,0,,4,,
2020-07-27 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.72,4,0,,4,,
2020-08-03 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,1.14,4,0,,4,,
2020-08-10 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0.14,2,0,,,,
2020-08-24 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,0,,,,
2020-08-31 00:00:00,Córdoba,Montilla,021-00017-01,,,,,0,0,0,0,0,0,,,,
