cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
CO005,2016-01-01 00:00:00,17.230,14.4,13.48,94.500,91.0083,80.000,0.133506,3.600,13.240,3.57292,0.000,910,415,13,77,2
CO005,2016-01-02 00:00:00,16.770,13.1458,11.15,94.200,80.0675,54.190,0.319729,2.000,12.750,2.16708,0.000,451,499,401,70,3
CO005,2016-01-03 00:00:00,14.960,12.3408,10.55,94.700,92.0833,80.700,0.077016,4.000,13.720,3.30667,0.000,744,543,53,83,2
CO005,2016-01-04 00:00:00,16.570,14.8096,13.75,94.700,89.7958,78.500,0.135472,3.600,20.360,8.52208,0.000,777,590,19,32,2
CO005,2016-01-05 00:00:00,14.020,10.2708,4.86,94.300,83.1283,54.140,0.355866,20.400,16.480,4.60375,0.000,473,776,141,34,2
CO005,2016-01-06 00:00:00,12.220,7.34042,2.98,94.300,87.85,73.100,0.354365,0.200,9.830,3.02833,0.000,799,544,26,49,2
CO005,2016-01-07 00:00:00,14.820,11.7346,9.41,93.800,90.5458,84.800,0.10631,0.200,10.000,3.165,0.000,950,377,19,71,2
CO005,2016-01-08 00:00:00,16.030,13.4142,10.34,88.600,80.8425,64.890,0.295614,0.000,12.750,3.45042,0.000,960,378,13,68,2
CO005,2016-01-09 00:00:00,15.160,12.5712,9.67,94.700,84.6787,68.860,0.301627,13.800,14.530,4.6675,0.000,900,468,15,41,2
CO005,2016-01-10 00:00:00,16.300,12.6708,9.61,90.700,80.4846,69.030,0.239628,0.000,15.990,5.70458,0.000,924,391,27,80,1
CO005,2016-01-11 00:00:00,14.900,12.1942,10.81,94.600,89.5125,77.600,0.0644055,9.200,19.550,5.23208,0.000,865,427,61,61,2
CO005,2016-01-12 00:00:00,14.370,9.97042,7.2,94.600,84.2446,57.370,0.39058,0.200,5.780,1.61917,0.000,60,256,648,460,4
CO005,2016-01-13 00:00:00,15.240,9.47,5.66,86.600,75.2975,60.770,0.439233,0.000,8.380,3.19833,0.000,44,40,393,934,4
CO005,2016-01-14 00:00:00,14.420,10.0796,6.4,85.100,76.3508,64.630,0.259784,0.000,4.970,1.11292,0.000,135,164,501,613,4
CO005,2016-01-15 00:00:00,16.370,11.0917,7.15,94.500,81.8533,63.450,0.237288,1.400,10.640,2.40375,0.000,323,613,254,233,4
CO005,2016-01-16 00:00:00,11.890,6.88583,2.18,80.100,64.1275,44.670,0.494319,0.000,14.210,4.30417,0.000,103,89,376,844,4
CO005,2016-01-17 00:00:00,11.900,6.59917,2.79,71.400,65.3738,56.500,0.414919,0.000,8.210,2.91083,0.000,37,140,561,684,4
CO005,2016-01-18 00:00:00,14.830,9.06083,5.13,88.800,74.7488,57.140,0.414894,0.000,7.890,1.54875,0.000,352,506,449,117,4
CO005,2016-01-19 00:00:00,12.420,8.42292,6.54,94.100,87.955,68.120,0.274491,0.000,4.650,1.105,0.000,353,332,471,260,4
CO005,2016-01-20 00:00:00,12.630,8.84583,6.6,92.500,88.7708,78.500,0.170396,1.000,7.240,1.81625,0.000,214,166,340,694,4
CO005,2016-01-21 00:00:00,14.290,10.3804,7.35,94.100,87.9292,77.000,0.285927,0.000,6.910,1.76042,0.000,13,31,578,804,4
CO005,2016-01-22 00:00:00,17.760,13.7292,10.88,87.900,78.74,66.140,0.435713,0.000,8.860,2.505,0.000,32,88,487,811,4
