cod_est,FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
HU004,2016-01-01 00:00:00,17.140,14.6092,13.05,99.400,95.3875,86.800,0.144029,6.200,30.340,8.29383,0.000,244,314,799,83,4
HU004,2016-01-02 00:00:00,16.050,12.9992,10.69,97.000,85.3787,63.700,0.265198,0.000,13.270,2.75237,0.000,170,122,468,678,4
HU004,2016-01-03 00:00:00,15.250,12.6729,10.18,98.700,96.2958,87.900,0.122145,0.800,22.120,6.2395,0.000,8,447,763,222,4
HU004,2016-01-04 00:00:00,16.900,15.4471,14.37,96.000,87.1129,74.320,0.173306,1.000,35.140,14.1983,4.375,0,0,1232,208,3
HU004,2016-01-05 00:00:00,14.910,10.3868,6.706,96.800,83.1371,62.340,0.337955,14.600,27.450,8.45646,0.000,30,0,133,1277,4
HU004,2016-01-06 00:00:00,15.080,9.84938,4.004,95.200,82.6192,65.370,0.3792,0.000,20.320,4.97454,0.000,89,111,681,558,4
HU004,2016-01-07 00:00:00,15.790,13.2937,11.5,96.800,90.8667,84.600,0.14156,1.000,21.870,5.77679,0.000,1,128,1102,208,4
HU004,2016-01-08 00:00:00,15.820,13.3367,10.45,97.900,91.3729,79.040,0.175408,3.600,30.480,8.44063,0.000,25,545,849,22,3
HU004,2016-01-09 00:00:00,15.110,12.8229,9.43,98.000,84.4742,64.640,0.401426,5.000,23.000,8.20396,1.094,1,0,898,539,4
HU004,2016-01-10 00:00:00,16.360,14.1037,11.94,90.400,83.9946,76.120,0.227023,1.600,35.740,13.2102,3.175,0,0,1424,16,3
HU004,2016-01-11 00:00:00,15.750,12.9229,9.54,97.100,89.5042,81.700,0.156917,4.800,34.050,9.57662,0.000,50,0,718,672,4
HU004,2016-01-12 00:00:00,15.370,9.91242,4.715,97.400,81.3454,56.190,0.4619,0.200,12.770,2.11888,0.000,779,275,119,267,4
HU004,2016-01-13 00:00:00,15.590,10.656,7.282,83.900,71.1412,54.120,0.453914,0.000,30.450,6.15562,0.000,1148,175,0,117,4
HU004,2016-01-14 00:00:00,13.960,10.3586,6.13,94.000,84.8388,77.990,0.191609,0.000,13.550,2.35504,0.000,642,406,199,191,4
HU004,2016-01-15 00:00:00,15.720,11.8342,8.9,96.400,81.9308,64.100,0.463442,0.200,15.950,6.02538,0.000,353,86,42,956,4
HU004,2016-01-16 00:00:00,12.610,9.07621,6.164,76.210,55.8113,38.710,0.51567,0.000,42.190,13.5435,0.000,1261,178,0,0,2
HU004,2016-01-17 00:00:00,12.780,8.61138,5.523,81.900,61.2888,52.850,0.33373,0.000,27.310,10.0029,0.000,1043,195,95,106,4
HU004,2016-01-18 00:00:00,15.380,9.77004,5.223,94.200,84.7496,69.400,0.280482,0.000,11.570,1.832,0.000,349,207,418,462,4
HU004,2016-01-19 00:00:00,13.420,9.11063,4.445,93.200,83.0842,68.100,0.347429,0.000,14.890,3.24225,0.000,235,658,290,255,4
HU004,2016-01-20 00:00:00,15.890,11.1192,8.05,96.600,87.4683,68.720,0.392532,3.200,21.840,4.6565,0.000,519,436,270,214,4
HU004,2016-01-21 00:00:00,12.540,11.3079,9.91,98.600,97.3792,95.900,0.113258,0.800,14.890,4.56329,0.000,1002,378,38,15,3
HU004,2016-01-22 00:00:00,16.460,13.1604,11.06,97.500,87.6012,75.470,0.250709,0.000,17.600,6.40108,0.000,1367,63,4,1,1
HU004,2016-01-23 00:00:00,18.550,14.6487,11.3,86.900,78.425,64.950,0.474555,0.000,20.670,5.69367,0.000,1124,255,25,37,2
HU004,2016-01-24 00:00:00,18.620,13.9017,10.42,89.100,76.7729,62.880,0.421699,0.000,18.490,4.55762,0.000,825,298,194,123,4
HU004,2016-01-25 00:00:00,17.510,12.5096,8.36,95.300,85.2763,69.620,0.390583,3.800,19.510,3.90333,0.000,481,216,293,452,4
HU004,2016-01-26 00:00:00,16.350,10.5434,5.893,97.200,85.3896,63.270,0.556785,0.400,19.300,3.94554,0.000,172,10,82,1173,4
HU004,2016-01-27 00:00:00,15.380,9.78279,4.377,96.700,86.0742,65.320,0.508496,0.000,11.360,2.62554,0.000,327,251,265,596,4
HU004,2016-01-28 00:00:00,14.030,9.85613,5.927,96.400,86.9783,65.590,0.226567,0.200,11.920,2.29212,0.000,540,238,75,586,4
HU004,2016-01-29 00:00:00,16.150,9.8715,4.413,95.200,79.9038,57.050,0.490566,1.600,12.240,2.69071,0.000,583,199,165,488,4
HU004,2016-01-30 00:00:00,17.060,10.5733,4.208,93.600,78.6042,57.670,0.534915,0.000,11.010,2.98838,0.000,483,167,286,502,4
HU004,2016-01-31 00:00:00,17.740,10.8665,3.735,93.700,79.1933,57.670,0.553095,0.200,11.850,2.16063,0.000,522,213,238,464,4
HU004,2016-02-01 00:00:00,21.830,13.6255,7.282,93.600,77.6279,54.340,0.561642,0.000,20.360,3.68546,0.000,557,379,85,420,4
HU004,2016-02-02 00:00:00,18.790,12.7771,8.32,96.600,83.93,59.820,0.499293,0.000,13.410,2.92267,0.000,288,212,333,606,4
HU004,2016-02-03 00:00:00,17.280,11.6975,6.435,96.800,80.0979,61.570,0.365063,0.200,20.530,4.7885,0.000,946,109,82,299,4
HU004,2016-02-04 00:00:00,17.370,12.8925,9.92,71.120,58.0829,51.820,0.488015,0.000,33.970,13.9703,3.352,1277,163,0,0,1
HU004,2016-02-05 00:00:00,15.920,12.2204,9.1,82.100,70.7921,56.720,0.365599,0.000,25.330,8.47817,0.000,1252,86,61,39,3
HU004,2016-02-06 00:00:00,17.580,13.4079,8.46,90.500,82.1458,66.530,0.276969,0.000,26.250,8.4735,0.000,99,493,789,60,3
HU004,2016-02-07 00:00:00,16.830,13.2358,8.5,94.600,76.7292,50.910,0.537369,0.000,28.610,7.93242,0.000,55,24,325,1033,4
HU004,2016-02-08 00:00:00,15.890,10.6821,4.038,94.400,81.5125,62.230,0.343429,0.000,13.970,2.71937,0.000,123,254,214,845,4
HU004,2016-02-09 00:00:00,17.010,13.4517,10.32,94.100,84.5921,64.700,0.295392,0.200,29.490,6.60683,0.000,10,68,683,682,4
HU004,2016-02-10 00:00:00,17.470,14.4204,12.51,96.500,87.8033,71.110,0.306818,0.400,23.990,7.92546,1.940,0,0,879,561,4
HU004,2016-02-11 00:00:00,18.080,14.6129,11.23,97.700,90.65,78.700,0.305194,3.400,21.660,7.67246,1.341,0,0,649,790,4
HU004,2016-02-12 00:00:00,15.520,13.5725,10.58,96.600,91.5917,84.400,0.151942,0.200,28.400,9.63833,0.917,0,0,1027,411,4
HU004,2016-02-13 00:00:00,16.360,14.3963,12.71,95.300,88.8146,78.160,0.229775,0.200,26.320,10.3419,2.646,0,0,907,534,4
HU004,2016-02-14 00:00:00,15.010,11.2925,5.961,95.700,76.0658,47.720,0.550281,0.800,49.500,14.3071,1.658,28,0,231,1177,4
HU004,2016-02-15 00:00:00,14.570,9.44308,5.22,83.900,63.38,37.980,0.586377,0.000,36.090,14.504,0.000,236,0,1,1200,4
HU004,2016-02-16 00:00:00,12.570,8.01962,2.858,57.070,43.2725,29.450,0.69089,0.000,38.460,8.84788,0.000,1090,27,24,296,4
HU004,2016-02-17 00:00:00,13.450,6.74192,-0.922,84.400,64.4733,38.440,0.642664,0.000,21.450,4.53279,0.000,204,362,536,335,4
HU004,2016-02-18 00:00:00,12.470,9.13333,6.435,97.000,79.6604,57.600,0.3761,7.000,17.780,4.20717,0.000,461,77,32,867,4
HU004,2016-02-19 00:00:00,15.310,10.0826,4.751,84.200,68.9871,53.930,0.504828,0.000,29.990,8.85946,0.000,1314,19,8,98,4
HU004,2016-02-20 00:00:00,18.080,12.5471,8.09,78.160,61.6713,44.270,0.68045,0.000,33.300,12.0635,0.000,1232,127,36,44,4
HU004,2016-02-21 00:00:00,19.260,13.7125,9.71,67.940,57.4133,48.150,0.617856,0.000,27.940,10.2791,0.000,1089,294,18,36,4
HU004,2016-02-22 00:00:00,19.770,13.206,7.214,90.500,65.9638,44.830,0.599131,0.000,17.530,4.122,0.000,380,104,477,479,4
HU004,2016-02-23 00:00:00,17.910,11.1896,5.089,95.500,76.7046,50.740,0.71107,0.000,15.950,4.30887,0.000,80,35,224,1102,4
HU004,2016-02-24 00:00:00,15.820,10.591,5.833,93.900,80.9579,57.410,0.581091,2.000,29.280,7.28529,0.000,34,14,460,928,4
HU004,2016-02-25 00:00:00,15.860,11.0186,6.74,96.600,79.795,56.250,0.44148,0.200,16.900,5.10283,0.000,11,0,259,1169,4
HU004,2016-02-26 00:00:00,12.310,8.31233,5.156,96.900,91.1833,81.400,0.129022,10.800,31.470,6.99838,0.000,39,172,498,731,4
