FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
2016-01-01 00:00:00,18.800,15.8646,14.67,99.700,95.95,86.400,0.193874,10.200,14.850,3.01008,0.000,11,444,926,54,4
2016-01-02 00:00:00,19.210,14.8775,12.33,98.200,80.9529,50.370,0.332332,0.000,10.870,1.12871,0.000,199,373,599,268,4
2016-01-03 00:00:00,16.900,14.0429,11.01,99.100,95.7542,87.100,0.139009,1.400,10.830,1.7785,0.000,16,414,976,33,3
2016-01-04 00:00:00,18.770,16.6358,15.11,97.300,87.7288,71.300,0.17888,1.000,15.630,4.34346,0.000,14,328,1005,89,3
2016-01-05 00:00:00,16.020,11.8788,6.141,98.700,79.9321,52.380,0.300467,18.600,21.660,2.89696,0.000,12,83,740,595,4
2016-01-06 00:00:00,15.550,9.37438,3.325,98.700,87.3321,66.030,0.308178,0.000,9.210,1.40458,0.000,280,284,816,55,3
2016-01-07 00:00:00,17.480,13.0592,9.32,98.800,94.7583,82.500,0.163297,0.400,11.540,1.38854,0.000,29,656,712,39,3
2016-01-08 00:00:00,17.850,14.5337,10.47,97.300,89.8896,75.010,0.190422,1.600,12.670,2.66167,0.000,97,476,850,16,3
2016-01-09 00:00:00,17.850,14.3029,11.83,99.100,83.5292,59.180,0.4034,15.400,13.900,2.67292,0.000,12,292,924,205,4
2016-01-10 00:00:00,17.240,14.2575,11.08,92.700,83.395,73.390,0.19135,0.200,16.020,4.2305,0.000,2,407,1013,18,3
2016-01-11 00:00:00,16.430,13.6571,9.15,97.900,91.5875,83.700,0.139252,6.400,16.330,3.31579,0.000,21,334,880,199,4
2016-01-12 00:00:00,16.320,9.53317,4.444,99.800,88.55,54.430,0.414349,0.200,7.056,0.887042,0.000,1104,92,5,233,4
2016-01-13 00:00:00,17.780,9.87767,5.496,97.900,81.5329,54.540,0.39348,0.000,10.580,1.92471,0.000,917,50,2,461,4
2016-01-14 00:00:00,14.470,9.09683,4.546,99.300,91.435,73.950,0.195897,0.000,7.797,0.611042,0.000,829,68,4,473,4
2016-01-15 00:00:00,18.220,12.7387,7.185,98.400,80.7671,53.290,0.338177,0.200,14.990,1.83729,0.000,475,158,425,374,4
2016-01-16 00:00:00,14.190,9.39663,5.325,77.740,58.7263,37.720,0.465084,0.000,16.900,5.126,0.000,1343,70,0,21,1
2016-01-17 00:00:00,14.060,8.34296,4.716,90.700,67.1192,52.500,0.292649,0.000,11.470,2.82567,0.000,1024,21,3,381,4
2016-01-18 00:00:00,16.490,9.38813,3.698,98.900,84.8133,54.910,0.355111,0.000,7.515,0.942583,0.000,342,204,444,449,4
2016-01-19 00:00:00,14.030,7.83004,2.443,99.900,90.2646,66.150,0.298359,0.000,5.398,0.619792,0.000,776,392,98,172,4
2016-01-20 00:00:00,17.240,11.4787,8.54,98.400,88.9188,67.040,0.373208,5.800,9.350,1.40433,0.000,557,208,364,298,4
2016-01-21 00:00:00,14.600,12.58,10.98,98.300,94.9375,87.200,0.153648,0.400,6.703,1.13183,0.000,900,24,135,363,4
2016-01-22 00:00:00,19.720,14.3987,10.91,96.900,84.9779,64.960,0.286731,0.000,13.720,2.18458,0.000,1149,25,0,259,4
2016-01-23 00:00:00,22.390,14.8867,9.86,97.100,82.0258,54.820,0.430737,0.000,7.797,1.64771,0.000,784,221,60,360,4
2016-01-24 00:00:00,21.310,12.995,7.965,99.200,84.4,52.520,0.414079,0.000,9.210,0.776417,0.000,570,142,181,541,4
2016-01-25 00:00:00,19.820,12.9554,7.626,98.700,85.4708,60.390,0.371261,0.000,6.738,0.9115,0.000,537,241,308,350,4
2016-01-26 00:00:00,16.460,10.9988,7.185,99.700,92.6742,70.490,0.332665,5.000,7.832,0.699917,0.000,177,448,669,145,4
2016-01-27 00:00:00,17.710,10.1698,4.614,99.700,87.3146,58.650,0.475405,0.000,8.470,0.994,0.000,656,135,223,422,4
2016-01-28 00:00:00,14.600,9.75512,5.428,99.300,90.1896,70.560,0.230494,0.000,7.938,0.811958,0.000,704,46,25,657,4
2016-01-29 00:00:00,17.820,10.3321,5.089,99.400,82.4087,50.630,0.433468,0.200,9.880,1.29183,0.000,873,191,31,342,4
2016-01-30 00:00:00,18.800,10.0809,3.766,98.300,81.3554,48.660,0.490563,0.000,8.360,0.890625,0.000,577,312,288,260,4
2016-01-31 00:00:00,18.460,10.2447,3.766,99.400,83.0004,54.150,0.500612,0.000,10.510,1.32017,0.000,829,189,1,416,4
2016-02-01 00:00:00,22.530,13.1803,5.765,97.200,80.1279,50.730,0.509924,0.000,8.330,1.56471,0.000,949,262,78,142,3
2016-02-02 00:00:00,21.310,12.1542,6.407,99.200,85.7421,52.160,0.453883,0.000,7.550,0.723375,0.000,610,388,189,252,4
2016-02-03 00:00:00,18.320,11.484,5.937,99.300,85.0642,62.650,0.324242,0.000,11.750,1.94958,0.000,1105,202,0,125,4
2016-02-04 00:00:00,20.330,13.5933,7.659,85.400,57.7096,44.770,0.456894,0.000,15.630,5.388,0.000,1180,218,1,28,2
2016-02-05 00:00:00,18.320,12.4467,7.456,91.300,73.6038,51.700,0.333386,0.000,10.130,1.90825,0.000,1051,22,1,358,4
2016-02-06 00:00:00,19.340,12.4442,6.107,98.400,86.6417,70.490,0.276077,0.000,14.150,2.41583,0.000,275,383,650,131,4
2016-02-07 00:00:00,18.090,14.1429,7.829,95.300,72.9796,44.860,0.505005,1.400,15.980,2.87188,0.000,68,245,614,511,4
2016-02-08 00:00:00,17.850,9.99096,3.664,99.200,84.6958,55.480,0.37231,0.000,7.726,0.492625,0.000,735,335,188,184,3
2016-02-09 00:00:00,18.360,13.9742,10.85,96.600,85.2104,63.430,0.246375,0.200,14.010,2.19471,0.000,104,328,906,98,3
2016-02-10 00:00:00,19.480,15.3371,13.18,95.500,87.5221,66.740,0.247594,1.200,10.050,3.02004,0.000,13,274,1071,79,3
2016-02-11 00:00:00,19.340,16.0021,13.15,99.100,88.9333,73.000,0.249227,4.400,13.190,2.4965,0.000,18,229,993,197,3
2016-02-12 00:00:00,17.140,14.6542,11.05,97.700,90.0129,77.610,0.163793,0.000,15.170,3.54892,0.000,10,354,982,88,3
2016-02-13 00:00:00,18.460,15.9096,13.99,94.400,86.995,71.800,0.232039,0.200,11.780,3.44313,0.000,10,304,1028,96,3
2016-02-14 00:00:00,16.970,12.6502,7.524,94.400,72.9425,51.910,0.465967,0.800,32.250,5.87042,0.000,37,115,610,676,4
2016-02-15 00:00:00,16.120,11.2643,4.58,84.100,53.7946,32.790,0.551911,0.000,24.200,4.91212,0.000,331,73,200,817,4
2016-02-16 00:00:00,14.160,9.05358,2.375,80.300,40.4213,29.400,0.6505,0.000,16.790,4.19192,0.000,1088,119,1,214,4
2016-02-17 00:00:00,15.340,6.73671,-1.416,97.500,68.6496,33.550,0.613031,0.000,11.150,1.82233,0.000,619,206,535,83,4
2016-02-18 00:00:00,13.860,9.8635,6.608,98.400,78.5037,51.980,0.388518,9.000,14.500,1.95033,0.000,720,143,125,436,4
2016-02-19 00:00:00,16.770,9.26538,3.562,96.700,78.0821,53.910,0.388454,0.000,15.590,2.61967,0.000,1089,207,0,136,4
2016-02-20 00:00:00,20.800,12.5678,5.289,86.200,63.85,38.020,0.649593,0.000,16.330,3.81679,0.000,1273,112,10,35,1
2016-02-21 00:00:00,22.460,14.2788,7.931,84.400,58.5737,36.440,0.568193,0.000,12.030,2.50792,0.000,1010,138,144,141,4
2016-02-22 00:00:00,21.040,12.5442,5.7,95.400,73.6067,36.480,0.572815,0.000,10.730,1.71258,0.000,535,246,418,236,4
2016-02-23 00:00:00,19.720,13.14,8.13,98.900,79.8058,45.520,0.651003,0.000,9.670,1.60058,0.000,189,414,535,297,4
2016-02-24 00:00:00,16.970,10.314,4.377,99.500,86.7075,57.850,0.521682,5.800,14.180,1.96692,0.000,289,238,646,255,4
