Gene stable ID	Gene type
ENSMUSG00000064372	Mt_tRNA
ENSMUSG00000064371	Mt_tRNA
ENSMUSG00000064370	protein_coding
ENSMUSG00000064369	Mt_tRNA
ENSMUSG00000064368	protein_coding
ENSMUSG00000064367	protein_coding
ENSMUSG00000064366	Mt_tRNA
ENSMUSG00000064365	Mt_tRNA
ENSMUSG00000064364	Mt_tRNA
ENSMUSG00000064363	protein_coding
ENSMUSG00000065947	protein_coding
ENSMUSG00000064361	Mt_tRNA
ENSMUSG00000064360	protein_coding
ENSMUSG00000064359	Mt_tRNA
ENSMUSG00000064358	protein_coding
ENSMUSG00000064357	protein_coding
ENSMUSG00000064356	protein_coding
ENSMUSG00000064355	Mt_tRNA
ENSMUSG00000064354	protein_coding
ENSMUSG00000064353	Mt_tRNA
ENSMUSG00000064352	Mt_tRNA
ENSMUSG00000064351	protein_coding
ENSMUSG00000064350	Mt_tRNA
ENSMUSG00000064349	Mt_tRNA
ENSMUSG00000064348	Mt_tRNA
ENSMUSG00000064347	Mt_tRNA
ENSMUSG00000064346	Mt_tRNA
ENSMUSG00000064345	protein_coding
ENSMUSG00000064344	Mt_tRNA
ENSMUSG00000064343	Mt_tRNA
ENSMUSG00000064342	Mt_tRNA
ENSMUSG00000064341	protein_coding
ENSMUSG00000064340	Mt_tRNA
ENSMUSG00000064339	Mt_rRNA
ENSMUSG00000064338	Mt_tRNA
ENSMUSG00000064337	Mt_rRNA
ENSMUSG00000064336	Mt_tRNA
ENSMUSG00000085805	lncRNA
ENSMUSG00000112742	lncRNA
ENSMUSG00000085302	TR_V_pseudogene
ENSMUSG00000096607	protein_coding
ENSMUSG00000076855	TR_V_gene
ENSMUSG00000096755	processed_pseudogene
ENSMUSG00000028101	protein_coding
ENSMUSG00000094562	TR_V_gene
ENSMUSG00000110246	lncRNA
ENSMUSG00000042354	protein_coding
ENSMUSG00000112632	processed_pseudogene
ENSMUSG00000004446	protein_coding
ENSMUSG00000094212	TR_V_gene
ENSMUSG00000116190	lncRNA
ENSMUSG00000063548	processed_pseudogene
ENSMUSG00000109840	processed_pseudogene
ENSMUSG00000105090	TR_V_pseudogene
ENSMUSG00000109831	lncRNA
ENSMUSG00000112387	lncRNA
ENSMUSG00000076858	TR_V_gene
ENSMUSG00000067352	lncRNA
ENSMUSG00000027379	protein_coding
ENSMUSG00000112482	lncRNA
ENSMUSG00000105380	TR_V_pseudogene
ENSMUSG00000112435	processed_pseudogene
ENSMUSG00000087666	TR_V_gene
ENSMUSG00000112208	lncRNA
ENSMUSG00000035683	protein_coding
ENSMUSG00000109944	lncRNA
ENSMUSG00000096397	TR_V_gene
