		E-GEOD-11941	E-GEOD-12113	E-GEOD-29598	E-GEOD-32920	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-48433	E-GEOD-57116	E-GEOD-57116	E-GEOD-60052	E-GEOD-63252	E-GEOD-63452	E-MTAB-3645	E-MTAB-6491	E-MTAB-6681	E-MTAB-6724	E-MTAB-6865	E-TABM-868
		'100 microgram per milliliter trovafloxacin' vs 'none'	'IPI504' vs 'vehicle'	'formalin-fixed,parafin-embedded xenograft; messageAmp Premier methodology' vs 'fresh-frozen xenograft; normal'	'phevalin' vs 'DMSO' in 'planktonic-conditioned medium'	'AsPC-1; pancreatic adenocarcinoma; P04' vs 'AsPC-1; pancreatic adenocarcinoma; P0'	'HOP-62; adenocarcinoma of lung; P04' vs 'HOP-62; adenocarcinoma of lung; P0'	'HOP-62; adenocarcinoma of lung; P10' vs 'HOP-62; adenocarcinoma of lung; P0'	'NCI-H460; large cell lung carcinoma; P01' vs 'NCI-H460; large cell lung carcinoma; P0'	'3 h DRB 0 min 4sU' vs 'untreated'	'3 h DRB 8 min 4sU' vs 'untreated'	'small cell lung carcinoma' vs 'normal'	'wild type; BREFELDIN A' vs 'wild type; control'	'6 hour' vs '0 hour' in 'MCF-10A-H1047R'	'Hypoxia' vs 'Normoxia' in 'A2780cis; None'	'chronic obstructive pulmonary disease' vs 'normal' in 'Streptococcus pneumoniae CGSP14'	'CRISPR/Cas9 mediated knockout of CIC' vs 'wild type genotype' in 'none'	'Rickettsia conorii' vs 'mock'	'CD3/CD28 beads' vs 'none' in 'none'	'GAM overexpression' vs 'wild type' in 'lipopolysaccharide; 100 nanogram per milliliter'
ENSG00000000003	TSPAN6	-1.1	0.3	-2.4	-0.4	-0.7	-1.0	-0.7	0.3	0.3	0.3	0.2	0.4	0.8	0.99	1.0	0.1	0.2	-4.5	0.3
ENSG00000000419	DPM1	0.6	0.3	-1.0		-0.1	0.5	0.4	0.3	1.3	1.7	0.6	2.0	-0.2	0.99	-0.5	0.3	0.5	1.0	0.99
ENSG00000000457	SCYL3	2.0	0.2	0.5		0.99	-0.1	0.99	0.99	-1.6	-1.8	0.6	1.4	-0.6	-0.4	-1.2	-0.2	0.99	-0.7	0.4
ENSG00000000460	C1orf112			-1.5	-0.2	2.1	1.1	1.0	2.9	-0.1	1.0	1.1	-0.4	-0.7	-0.8	-0.4	0.1	-0.4	1.8	-0.8
ENSG00000000938	FGR	-0.3		0.8		0.99	0.1	0.4	0.1			-2.2	-0.5		0.99	0.6		0.1	-4.8	-0.6
ENSG00000000971	CFH	-0.4	-0.1	1.0	0.99	0.99	-2.6	-2.9	0.5	0.7	0.1	-1.3	-0.4	0.2	0.7	-2.4	0.1		-3.9	3.0
ENSG00000001036	FUCA2	-0.9	-0.6			0.99	-0.2	0.99	0.3	0.7	0.4	0.1	-1.0	0.2		0.6	0.99	-0.2	1.1	0.99
ENSG00000001084	GCLC	0.5		-0.2		-1.7	-1.2	-0.8	1.1	-0.4	-1.0	0.4	2.4	-0.1		-1.1	0.3	0.1	0.99	0.99
ENSG00000001167	NFYA	0.3	-0.1	-0.3		-1.2	0.99	0.1	0.2	-0.4	-1.1	0.7	1.4	-0.4		0.99	-0.1	0.3	-0.2	0.6
