% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION dna
@ATTRIBUTE A0 {0,1}
@ATTRIBUTE A1 {0,1}
@ATTRIBUTE A2 {0,1}
@ATTRIBUTE A3 {0,1}
@ATTRIBUTE A4 {0,1}
@ATTRIBUTE A5 {0,1}
@ATTRIBUTE A6 {0,1}
@ATTRIBUTE A7 {0,1}
@ATTRIBUTE A8 {0,1}
@ATTRIBUTE A9 {0,1}
@ATTRIBUTE A10 {0,1}
@ATTRIBUTE A11 {0,1}
@ATTRIBUTE A12 {0,1}
@ATTRIBUTE A13 {0,1}
@ATTRIBUTE A14 {0,1}
@ATTRIBUTE A15 {0,1}
@ATTRIBUTE A16 {0,1}
@ATTRIBUTE A17 {0,1}
@ATTRIBUTE A18 {0,1}
@ATTRIBUTE A19 {0,1}
@ATTRIBUTE A20 {0,1}
@ATTRIBUTE A21 {0,1}
@ATTRIBUTE A22 {0,1}
@ATTRIBUTE A23 {0,1}
@ATTRIBUTE A24 {0,1}
@ATTRIBUTE A25 {0,1}
@ATTRIBUTE A26 {0,1}
@ATTRIBUTE A27 {0,1}
@ATTRIBUTE A28 {0,1}
@ATTRIBUTE A29 {0,1}
@ATTRIBUTE A30 {0,1}
@ATTRIBUTE A31 {0,1}
@ATTRIBUTE A32 {0,1}
@ATTRIBUTE A33 {0,1}
@ATTRIBUTE A34 {0,1}
@ATTRIBUTE A35 {0,1}
@ATTRIBUTE A36 {0,1}
@ATTRIBUTE A37 {0,1}
@ATTRIBUTE A38 {0,1}
@ATTRIBUTE A39 {0,1}
@ATTRIBUTE A40 {0,1}
@ATTRIBUTE A41 {0,1}
@ATTRIBUTE A42 {0,1}
@ATTRIBUTE A43 {0,1}
@ATTRIBUTE A44 {0,1}
@ATTRIBUTE A45 {0,1}
@ATTRIBUTE A46 {0,1}
@ATTRIBUTE A47 {0,1}
@ATTRIBUTE A48 {0,1}
@ATTRIBUTE A49 {0,1}
@ATTRIBUTE A50 {0,1}
@ATTRIBUTE A51 {0,1}
@ATTRIBUTE A52 {0,1}
@ATTRIBUTE A53 {0,1}
@ATTRIBUTE A54 {0,1}
@ATTRIBUTE A55 {0,1}
@ATTRIBUTE A56 {0,1}
@ATTRIBUTE A57 {0,1}
@ATTRIBUTE A58 {0,1}
@ATTRIBUTE A59 {0,1}
@ATTRIBUTE A60 {0,1}
@ATTRIBUTE A61 {0,1}
@ATTRIBUTE A62 {0,1}
@ATTRIBUTE A63 {0,1}
@ATTRIBUTE A64 {0,1}
@ATTRIBUTE A65 {0,1}
@ATTRIBUTE A66 {0,1}
@ATTRIBUTE A67 {0,1}
@ATTRIBUTE A68 {0,1}
@ATTRIBUTE A69 {0,1}
@ATTRIBUTE A70 {0,1}
@ATTRIBUTE A71 {0,1}
@ATTRIBUTE A72 {0,1}
@ATTRIBUTE A73 {0,1}
@ATTRIBUTE A74 {0,1}
@ATTRIBUTE A75 {0,1}
@ATTRIBUTE A76 {0,1}
@ATTRIBUTE A77 {0,1}
@ATTRIBUTE A78 {0,1}
@ATTRIBUTE A79 {0,1}
@ATTRIBUTE A80 {0,1}
@ATTRIBUTE A81 {0,1}
@ATTRIBUTE A82 {0,1}
@ATTRIBUTE A83 {0,1}
@ATTRIBUTE A84 {0,1}
@ATTRIBUTE A85 {0,1}
@ATTRIBUTE A86 {0,1}
@ATTRIBUTE A87 {0,1}
@ATTRIBUTE A88 {0,1}
@ATTRIBUTE A89 {0,1}
@ATTRIBUTE A90 {0,1}
@ATTRIBUTE A91 {0,1}
@ATTRIBUTE A92 {0,1}
@ATTRIBUTE A93 {0,1}
@ATTRIBUTE A94 {0,1}
@ATTRIBUTE A95 {0,1}
@ATTRIBUTE A96 {0,1}
@ATTRIBUTE A97 {0,1}
@ATTRIBUTE A98 {0,1}
@ATTRIBUTE A99 {0,1}
@ATTRIBUTE A100 {0,1}
@ATTRIBUTE A101 {0,1}
@ATTRIBUTE A102 {0,1}
@ATTRIBUTE A103 {0,1}
@ATTRIBUTE A104 {0,1}
@ATTRIBUTE A105 {0,1}
@ATTRIBUTE A106 {0,1}
@ATTRIBUTE A107 {0,1}
@ATTRIBUTE A108 {0,1}
@ATTRIBUTE A109 {0,1}
@ATTRIBUTE A110 {0,1}
@ATTRIBUTE A111 {0,1}
@ATTRIBUTE A112 {0,1}
@ATTRIBUTE A113 {0,1}
@ATTRIBUTE A114 {0,1}
@ATTRIBUTE A115 {0,1}
@ATTRIBUTE A116 {0,1}
@ATTRIBUTE A117 {0,1}
@ATTRIBUTE A118 {0,1}
@ATTRIBUTE A119 {0,1}
@ATTRIBUTE A120 {0,1}
@ATTRIBUTE A121 {0,1}
@ATTRIBUTE A122 {0,1}
@ATTRIBUTE A123 {0,1}
@ATTRIBUTE A124 {0,1}
@ATTRIBUTE A125 {0,1}
@ATTRIBUTE A126 {0,1}
@ATTRIBUTE A127 {0,1}
@ATTRIBUTE A128 {0,1}
@ATTRIBUTE A129 {0,1}
@ATTRIBUTE A130 {0,1}
@ATTRIBUTE A131 {0,1}
@ATTRIBUTE A132 {0,1}
@ATTRIBUTE A133 {0,1}
@ATTRIBUTE A134 {0,1}
@ATTRIBUTE A135 {0,1}
@ATTRIBUTE A136 {0,1}
@ATTRIBUTE A137 {0,1}
@ATTRIBUTE A138 {0,1}
@ATTRIBUTE A139 {0,1}
@ATTRIBUTE A140 {0,1}
@ATTRIBUTE A141 {0,1}
@ATTRIBUTE A142 {0,1}
@ATTRIBUTE A143 {0,1}
@ATTRIBUTE A144 {0,1}
@ATTRIBUTE A145 {0,1}
@ATTRIBUTE A146 {0,1}
@ATTRIBUTE A147 {0,1}
@ATTRIBUTE A148 {0,1}
@ATTRIBUTE A149 {0,1}
@ATTRIBUTE A150 {0,1}
@ATTRIBUTE A151 {0,1}
@ATTRIBUTE A152 {0,1}
@ATTRIBUTE A153 {0,1}
@ATTRIBUTE A154 {0,1}
@ATTRIBUTE A155 {0,1}
@ATTRIBUTE A156 {0,1}
@ATTRIBUTE A157 {0,1}
@ATTRIBUTE A158 {0,1}
@ATTRIBUTE A159 {0,1}
@ATTRIBUTE A160 {0,1}
@ATTRIBUTE A161 {0,1}
@ATTRIBUTE A162 {0,1}
@ATTRIBUTE A163 {0,1}
@ATTRIBUTE A164 {0,1}
@ATTRIBUTE A165 {0,1}
@ATTRIBUTE A166 {0,1}
@ATTRIBUTE A167 {0,1}
@ATTRIBUTE A168 {0,1}
@ATTRIBUTE A169 {0,1}
@ATTRIBUTE A170 {0,1}
@ATTRIBUTE A171 {0,1}
@ATTRIBUTE A172 {0,1}
@ATTRIBUTE A173 {0,1}
@ATTRIBUTE A174 {0,1}
@ATTRIBUTE A175 {0,1}
@ATTRIBUTE A176 {0,1}
@ATTRIBUTE A177 {0,1}
@ATTRIBUTE A178 {0,1}
@ATTRIBUTE A179 {0,1}
@ATTRIBUTE class {1,2,3}
@DATA
0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,3
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,3
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1
0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2
0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1
1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,3
