@relation Data_Cortex_Nuclear

@attribute ﻿MouseID {309_1,309_2,309_3,309_4,309_5,309_6,309_7,309_8,309_9,309_10,309_11,309_12,309_13,309_14,309_15,311_1,311_2,311_3,311_4,311_5,311_6,311_7,311_8,311_9,311_10,311_11,311_12,311_13,311_14,311_15,320_1,320_2,320_3,320_4,320_5,320_6,320_7,320_8,320_9,320_10,320_11,320_12,320_13,320_14,320_15,321_1,321_2,321_3,321_4,321_5,321_6,321_7,321_8,321_9,321_10,321_11,321_12,321_13,321_14,321_15,322_1,322_2,322_3,322_4,322_5,322_6,322_7,322_8,322_9,322_10,322_11,322_12,322_13,322_14,322_15,3415_1,3415_2,3415_3,3415_4,3415_5,3415_6,3415_7,3415_8,3415_9,3415_10,3415_11,3415_12,3415_13,3415_14,3415_15,3499_1,3499_2,3499_3,3499_4,3499_5,3499_6,3499_7,3499_8,3499_9,3499_10,3499_11,3499_12,3499_13,3499_14,3499_15,3507_1,3507_2,3507_3,3507_4,3507_5,3507_6,3507_7,3507_8,3507_9,3507_10,3507_11,3507_12,3507_13,3507_14,3507_15,3520_1,3520_2,3520_3,3520_4,3520_5,3520_6,3520_7,3520_8,3520_9,3520_10,3520_11,3520_12,3520_13,3520_14,3520_15,3521_1,3521_2,3521_3,3521_4,3521_5,3521_6,3521_7,3521_8,3521_9,3521_10,3521_11,3521_12,3521_13,3521_14,3521_15,294_1,294_2,294_3,294_4,294_5,294_6,294_7,294_8,294_9,294_10,294_11,294_12,294_13,294_14,294_15,3412_1,3412_2,3412_3,3412_4,3412_5,3412_6,3412_7,3412_8,3412_9,3412_10,3412_11,3412_12,3412_13,3412_14,3412_15,3413_1,3413_2,3413_3,3413_4,3413_5,3413_6,3413_7,3413_8,3413_9,3413_10,3413_11,3413_12,3413_13,3413_14,3413_15,3419_1,3419_2,3419_3,3419_4,3419_5,3419_6,3419_7,3419_8,3419_9,3419_10,3419_11,3419_12,3419_13,3419_14,3419_15,3420_1,3420_2,3420_3,3420_4,3420_5,3420_6,3420_7,3420_8,3420_9,3420_10,3420_11,3420_12,3420_13,3420_14,3420_15,3500_1,3500_2,3500_3,3500_4,3500_5,3500_6,3500_7,3500_8,3500_9,3500_10,3500_11,3500_12,3500_13,3500_14,3500_15,3503_1,3503_2,3503_3,3503_4,3503_5,3503_6,3503_7,3503_8,3503_9,3503_10,3503_11,3503_12,3503_13,3503_14,3503_15,362_1,362_2,362_3,362_4,362_5,362_6,362_7,362_8,362_9,362_10,362_11,362_12,362_13,362_14,362_15,364_1,364_2,364_3,364_4,364_5,364_6,364_7,364_8,364_9,364_10,364_11,364_12,364_13,364_14,364_15,365_1,365_2,365_3,365_4,365_5,365_6,365_7,365_8,365_9,365_10,365_11,365_12,365_13,365_14,365_15,3477_1,3477_2,3477_3,3477_4,3477_5,3477_6,3477_7,3477_8,3477_9,3477_10,3477_11,3477_12,3477_13,3477_14,3477_15,3478_1,3478_2,3478_3,3478_4,3478_5,3478_6,3478_7,3478_8,3478_9,3478_10,3478_11,3478_12,3478_13,3478_14,3478_15,3479_1,3479_2,3479_3,3479_4,3479_5,3479_6,3479_7,3479_8,3479_9,3479_10,3479_11,3479_12,3479_13,3479_14,3479_15,3480_1,3480_2,3480_3,3480_4,3480_5,3480_6,3480_7,3480_8,3480_9,3480_10,3480_11,3480_12,3480_13,3480_14,3480_15,3484_1,3484_2,3484_3,3484_4,3484_5,3484_6,3484_7,3484_8,3484_9,3484_10,3484_11,3484_12,3484_13,3484_14,3484_15,3497_1,3497_2,3497_3,3497_4,3497_5,3497_6,3497_7,3497_8,3497_9,3497_10,3497_11,3497_12,3497_13,3497_14,3497_15,50810A_1,50810A_2,50810A_3,50810A_4,50810A_5,50810A_6,50810A_7,50810A_8,50810A_9,50810A_10,50810A_11,50810A_12,50810A_13,50810A_14,50810A_15,50810D_1,50810D_2,50810D_3,50810D_4,50810D_5,50810D_6,50810D_7,50810D_8,50810D_9,50810D_10,50810D_11,50810D_12,50810D_13,50810D_14,50810D_15,50810F_1,50810F_2,50810F_3,50810F_4,50810F_5,50810F_6,50810F_7,50810F_8,50810F_9,50810F_10,50810F_11,50810F_12,50810F_13,50810F_14,50810F_15,3422_1,3422_2,3422_3,3422_4,3422_5,3422_6,3422_7,3422_8,3422_9,3422_10,3422_11,3422_12,3422_13,3422_14,3422_15,3423_1,3423_2,3423_3,3423_4,3423_5,3423_6,3423_7,3423_8,3423_9,3423_10,3423_11,3423_12,3423_13,3423_14,3423_15,3424_1,3424_2,3424_3,3424_4,3424_5,3424_6,3424_7,3424_8,3424_9,3424_10,3424_11,3424_12,3424_13,3424_14,3424_15,3481_1,3481_2,3481_3,3481_4,3481_5,3481_6,3481_7,3481_8,3481_9,3481_10,3481_11,3481_12,3481_13,3481_14,3481_15,3488_1,3488_2,3488_3,3488_4,3488_5,3488_6,3488_7,3488_8,3488_9,3488_10,3488_11,3488_12,3488_13,3488_14,3488_15,3489_1,3489_2,3489_3,3489_4,3489_5,3489_6,3489_7,3489_8,3489_9,3489_10,3489_11,3489_12,3489_13,3489_14,3489_15,3490_1,3490_2,3490_3,3490_4,3490_5,3490_6,3490_7,3490_8,3490_9,3490_10,3490_11,3490_12,3490_13,3490_14,3490_15,3516_1,3516_2,3516_3,3516_4,3516_5,3516_6,3516_7,3516_8,3516_9,3516_10,3516_11,3516_12,3516_13,3516_14,3516_15,J2292_1,J2292_2,J2292_3,J2292_4,J2292_5,J2292_6,J2292_7,J2292_8,J2292_9,J2292_10,J2292_11,J2292_12,J2292_13,J2292_14,J2292_15,3414_1,3414_2,3414_3,3414_4,3414_5,3414_6,3414_7,3414_8,3414_9,3414_10,3414_11,3414_12,3414_13,3414_14,3414_15,3416_1,3416_2,3416_3,3416_4,3416_5,3416_6,3416_7,3416_8,3416_9,3416_10,3416_11,3416_12,3416_13,3416_14,3416_15,3417_1,3417_2,3417_3,3417_4,3417_5,3417_6,3417_7,3417_8,3417_9,3417_10,3417_11,3417_12,3417_13,3417_14,3417_15,3429_1,3429_2,3429_3,3429_4,3429_5,3429_6,3429_7,3429_8,3429_9,3429_10,3429_11,3429_12,3429_13,3429_14,3429_15,3504_1,3504_2,3504_3,3504_4,3504_5,3504_6,3504_7,3504_8,3504_9,3504_10,3504_11,3504_12,3504_13,3504_14,3504_15,3505_1,3505_2,3505_3,3505_4,3505_5,3505_6,3505_7,3505_8,3505_9,3505_10,3505_11,3505_12,3505_13,3505_14,3505_15,3522_1,3522_2,3522_3,3522_4,3522_5,3522_6,3522_7,3522_8,3522_9,3522_10,3522_11,3522_12,3522_13,3522_14,3522_15,361_1,361_2,361_3,361_4,361_5,361_6,361_7,361_8,361_9,361_10,361_11,361_12,361_13,361_14,361_15,363_1,363_2,363_3,363_4,363_5,363_6,363_7,363_8,363_9,363_10,363_11,363_12,363_13,363_14,363_15,293_1,293_2,293_3,293_4,293_5,293_6,293_7,293_8,293_9,293_10,293_11,293_12,293_13,293_14,293_15,3411_1,3411_2,3411_3,3411_4,3411_5,3411_6,3411_7,3411_8,3411_9,3411_10,3411_11,3411_12,3411_13,3411_14,3411_15,3418_1,3418_2,3418_3,3418_4,3418_5,3418_6,3418_7,3418_8,3418_9,3418_10,3418_11,3418_12,3418_13,3418_14,3418_15,3501_1,3501_2,3501_3,3501_4,3501_5,3501_6,3501_7,3501_8,3501_9,3501_10,3501_11,3501_12,3501_13,3501_14,3501_15,3502_1,3502_2,3502_3,3502_4,3502_5,3502_6,3502_7,3502_8,3502_9,3502_10,3502_11,3502_12,3502_13,3502_14,3502_15,3530_1,3530_2,3530_3,3530_4,3530_5,3530_6,3530_7,3530_8,3530_9,3530_10,3530_11,3530_12,3530_13,3530_14,3530_15,3534_1,3534_2,3534_3,3534_4,3534_5,3534_6,3534_7,3534_8,3534_9,3534_10,3534_11,3534_12,3534_13,3534_14,3534_15,3605_1,3605_2,3605_3,3605_4,3605_5,3605_6,3605_7,3605_8,3605_9,3605_10,3605_11,3605_12,3605_13,3605_14,3605_15,3606_1,3606_2,3606_3,3606_4,3606_5,3606_6,3606_7,3606_8,3606_9,3606_10,3606_11,3606_12,3606_13,3606_14,3606_15,18899_1,18899_2,18899_3,18899_4,18899_5,18899_6,18899_7,18899_8,18899_9,18899_10,18899_11,18899_12,18899_13,18899_14,18899_15,3476_1,3476_2,3476_3,3476_4,3476_5,3476_6,3476_7,3476_8,3476_9,3476_10,3476_11,3476_12,3476_13,3476_14,3476_15,3483_1,3483_2,3483_3,3483_4,3483_5,3483_6,3483_7,3483_8,3483_9,3483_10,3483_11,3483_12,3483_13,3483_14,3483_15,3498_1,3498_2,3498_3,3498_4,3498_5,3498_6,3498_7,3498_8,3498_9,3498_10,3498_11,3498_12,3498_13,3498_14,3498_15,50810B_1,50810B_2,50810B_3,50810B_4,50810B_5,50810B_6,50810B_7,50810B_8,50810B_9,50810B_10,50810B_11,50810B_12,50810B_13,50810B_14,50810B_15,50810C_1,50810C_2,50810C_3,50810C_4,50810C_5,50810C_6,50810C_7,50810C_8,50810C_9,50810C_10,50810C_11,50810C_12,50810C_13,50810C_14,50810C_15,50810E_1,50810E_2,50810E_3,50810E_4,50810E_5,50810E_6,50810E_7,50810E_8,50810E_9,50810E_10,50810E_11,50810E_12,50810E_13,50810E_14,50810E_15,3421_1,3421_2,3421_3,3421_4,3421_5,3421_6,3421_7,3421_8,3421_9,3421_10,3421_11,3421_12,3421_13,3421_14,3421_15,3425_1,3425_2,3425_3,3425_4,3425_5,3425_6,3425_7,3425_8,3425_9,3425_10,3425_11,3425_12,3425_13,3425_14,3425_15,3426_1,3426_2,3426_3,3426_4,3426_5,3426_6,3426_7,3426_8,3426_9,3426_10,3426_11,3426_12,3426_13,3426_14,3426_15,3491_1,3491_2,3491_3,3491_4,3491_5,3491_6,3491_7,3491_8,3491_9,3491_10,3491_11,3491_12,3491_13,3491_14,3491_15,3513_1,3513_2,3513_3,3513_4,3513_5,3513_6,3513_7,3513_8,3513_9,3513_10,3513_11,3513_12,3513_13,3513_14,3513_15,3517_1,3517_2,3517_3,3517_4,3517_5,3517_6,3517_7,3517_8,3517_9,3517_10,3517_11,3517_12,3517_13,3517_14,3517_15,3525_1,3525_2,3525_3,3525_4,3525_5,3525_6,3525_7,3525_8,3525_9,3525_10,3525_11,3525_12,3525_13,3525_14,3525_15,J1291_1,J1291_2,J1291_3,J1291_4,J1291_5,J1291_6,J1291_7,J1291_8,J1291_9,J1291_10,J1291_11,J1291_12,J1291_13,J1291_14,J1291_15,J3295_1,J3295_2,J3295_3,J3295_4,J3295_5,J3295_6,J3295_7,J3295_8,J3295_9,J3295_10,J3295_11,J3295_12,J3295_13,J3295_14,J3295_15}
@attribute DYRK1A_N numeric
@attribute ITSN1_N numeric
@attribute BDNF_N numeric
@attribute NR1_N numeric
@attribute NR2A_N numeric
@attribute pAKT_N numeric
@attribute pBRAF_N numeric
@attribute pCAMKII_N numeric
@attribute pCREB_N numeric
@attribute pELK_N numeric
@attribute pERK_N numeric
@attribute pJNK_N numeric
@attribute PKCA_N numeric
@attribute pMEK_N numeric
@attribute pNR1_N numeric
@attribute pNR2A_N numeric
@attribute pNR2B_N numeric
@attribute pPKCAB_N numeric
@attribute pRSK_N numeric
@attribute AKT_N numeric
@attribute BRAF_N numeric
@attribute CAMKII_N numeric
@attribute CREB_N numeric
@attribute ELK_N numeric
@attribute ERK_N numeric
@attribute GSK3B_N numeric
@attribute JNK_N numeric
@attribute MEK_N numeric
@attribute TRKA_N numeric
@attribute RSK_N numeric
@attribute APP_N numeric
@attribute Bcatenin_N numeric
@attribute SOD1_N numeric
@attribute MTOR_N numeric
@attribute P38_N numeric
@attribute pMTOR_N numeric
@attribute DSCR1_N numeric
@attribute AMPKA_N numeric
@attribute NR2B_N numeric
@attribute pNUMB_N numeric
@attribute RAPTOR_N numeric
@attribute TIAM1_N numeric
@attribute pP70S6_N numeric
@attribute NUMB_N numeric
@attribute P70S6_N numeric
@attribute pGSK3B_N numeric
@attribute pPKCG_N numeric
@attribute CDK5_N numeric
@attribute S6_N numeric
@attribute ADARB1_N numeric
@attribute AcetylH3K9_N numeric
@attribute RRP1_N numeric
@attribute BAX_N numeric
@attribute ARC_N numeric
@attribute ERBB4_N numeric
@attribute nNOS_N numeric
@attribute Tau_N numeric
@attribute GFAP_N numeric
@attribute GluR3_N numeric
@attribute GluR4_N numeric
@attribute IL1B_N numeric
@attribute P3525_N numeric
@attribute pCASP9_N numeric
@attribute PSD95_N numeric
@attribute SNCA_N numeric
@attribute Ubiquitin_N numeric
@attribute pGSK3B_Tyr216_N numeric
@attribute SHH_N numeric
@attribute BAD_N numeric
@attribute BCL2_N numeric
@attribute pS6_N numeric
@attribute pCFOS_N numeric
@attribute SYP_N numeric
@attribute H3AcK18_N numeric
@attribute EGR1_N numeric
@attribute H3MeK4_N numeric
@attribute CaNA_N numeric
@attribute Genotype {Control,Ts65Dn}
@attribute Treatment {Memantine,Saline}
@attribute Behavior {C/S,S/C}
@attribute class {c-CS-m,c-SC-m,c-CS-s,c-SC-s,t-CS-m,t-SC-m,t-CS-s,t-SC-s}

@data
309_1,0.503644,0.747193,0.430175,2.816329,5.990152,0.21883,0.177565,2.373744,0.232224,1.750936,0.687906,0.306382,0.402698,0.296927,1.02206,0.605673,1.877684,2.308745,0.441599,0.859366,0.416289,0.369608,0.178944,1.866358,3.685247,1.537227,0.264526,0.319677,0.813866,0.165846,0.45391,3.037621,0.36951,0.458539,0.335336,0.825192,0.576916,0.448099,0.586271,0.394721,0.339571,0.482864,0.29417,0.18215,0.842725,0.192608,1.443091,0.2947,0.354605,1.33907,0.170119,0.159102,0.188852,0.106305,0.144989,0.176668,0.12519,0.115291,0.228043,0.142756,0.430957,0.247538,1.60331,2.014875,0.108234,1.044979,0.831557,0.188852,0.122652,?,0.106305,0.108336,0.427099,0.114783,0.13179,0.128186,1.675652,Control,Memantine,C/S,c-CS-m
309_2,0.514617,0.689064,0.41177,2.789514,5.685038,0.211636,0.172817,2.29215,0.226972,1.596377,0.695006,0.299051,0.385987,0.281319,0.956676,0.587559,1.725774,2.043037,0.445222,0.834659,0.400364,0.356178,0.17368,1.761047,3.485287,1.509249,0.255727,0.304419,0.780504,0.157194,0.43094,2.921882,0.342279,0.42356,0.324835,0.761718,0.545097,0.420876,0.545097,0.368255,0.321959,0.454519,0.276431,0.182086,0.847615,0.194815,1.43946,0.29406,0.354548,1.306323,0.171427,0.158129,0.18457,0.106592,0.150471,0.178309,0.134275,0.118235,0.238073,0.142037,0.457156,0.257632,1.671738,2.004605,0.109749,1.009883,0.84927,0.200404,0.116682,?,0.106592,0.104315,0.441581,0.111974,0.135103,0.131119,1.74361,Control,Memantine,C/S,c-CS-m
309_3,0.509183,0.730247,0.418309,2.687201,5.622059,0.209011,0.175722,2.283337,0.230247,1.561316,0.677348,0.291276,0.381002,0.28171,1.003635,0.602449,1.731873,2.017984,0.467668,0.814329,0.399847,0.368089,0.173905,1.765544,3.571456,1.501244,0.259614,0.311747,0.785154,0.160895,0.423187,2.944136,0.343696,0.425005,0.324852,0.757031,0.54362,0.40463,0.552994,0.36388,0.313086,0.447197,0.256648,0.184388,0.856166,0.200737,1.524364,0.301881,0.386087,1.2796,0.185456,0.148696,0.190532,0.108303,0.14533,0.176213,0.13256,0.11776,0.244817,0.142445,0.510472,0.255343,1.66355,2.016831,0.108196,0.996848,0.846709,0.193685,0.118508,?,0.108303,0.106219,0.435777,0.111883,0.133362,0.127431,1.926427,Control,Memantine,C/S,c-CS-m
309_4,0.442107,0.617076,0.358626,2.466947,4.979503,0.222886,0.176463,2.152301,0.207004,1.595086,0.583277,0.296729,0.377087,0.313832,0.87539,0.520293,1.566852,2.132754,0.477671,0.727705,0.385639,0.36297,0.179449,1.286277,2.970137,1.41971,0.259536,0.279218,0.734492,0.16221,0.410615,2.500204,0.344509,0.429211,0.330121,0.74698,0.546763,0.38686,0.547849,0.366771,0.328492,0.44265,0.398534,0.161768,0.760234,0.184169,1.612382,0.296382,0.29068,1.198765,0.159799,0.166112,0.185323,0.103184,0.140656,0.163804,0.12321,0.117439,0.234947,0.145068,0.430996,0.251103,1.484624,1.957233,0.119883,0.990225,0.833277,0.192112,0.132781,?,0.103184,0.111262,0.391691,0.130405,0.147444,0.146901,1.700563,Control,Memantine,C/S,c-CS-m
309_5,0.43494,0.61743,0.358802,2.365785,4.718679,0.213106,0.173627,2.134014,0.192158,1.50423,0.55096,0.286961,0.363502,0.277964,0.864912,0.50799,1.480059,2.013697,0.483416,0.687794,0.367531,0.355311,0.174836,1.324695,2.896334,1.359876,0.250705,0.273667,0.702699,0.154827,0.39855,2.45656,0.329126,0.408755,0.313415,0.691956,0.53686,0.360816,0.512824,0.351551,0.312206,0.419095,0.393447,0.1602,0.768113,0.185718,1.645807,0.296829,0.309345,1.206995,0.16465,0.160687,0.188221,0.104784,0.141983,0.16771,0.136838,0.116048,0.255528,0.140871,0.481227,0.251773,1.534835,2.009109,0.119524,0.997775,0.878668,0.205604,0.129954,?,0.104784,0.110694,0.434154,0.118481,0.140314,0.14838,1.83973,Control,Memantine,C/S,c-CS-m
309_6,0.447506,0.628176,0.367388,2.385939,4.807635,0.218578,0.176233,2.141282,0.195188,1.442398,0.56634,0.289824,0.363893,0.266837,0.859121,0.521307,1.538244,1.968275,0.4959,0.672402,0.369404,0.357172,0.179728,1.22745,2.956983,1.44791,0.25084,0.284044,0.704396,0.156876,0.391047,2.467133,0.327598,0.40449,0.296276,0.674419,0.539723,0.354214,0.514316,0.347224,0.303132,0.412824,0.382578,0.16233,0.779695,0.186793,1.634615,0.288037,0.332367,1.123445,0.175693,0.150594,0.183824,0.106476,0.139564,0.174844,0.130515,0.115243,0.23685,0.136454,0.478577,0.244485,1.507777,2.003535,0.120687,0.920178,0.843679,0.190469,0.131575,?,0.106476,0.109446,0.439833,0.116657,0.140766,0.14218,1.816389,Control,Memantine,C/S,c-CS-m
309_7,0.428033,0.573696,0.342709,2.334224,4.47313,0.225173,0.184004,2.012414,0.195789,1.612036,0.509899,0.299654,0.37115,0.277656,0.84428,0.485387,1.494815,2.012571,0.497486,0.646135,0.395977,0.359522,0.186047,1.107794,2.599623,1.364236,0.261471,0.276241,0.693118,0.162162,0.405563,2.288812,0.34538,0.427561,0.333909,0.757542,0.558611,0.36895,0.544626,0.360308,0.329353,0.42049,0.465116,0.145566,0.702248,0.177033,1.773846,0.292195,0.266857,1.032284,0.147855,0.149816,0.18161,0.097834,0.142787,0.151859,0.115979,0.114753,0.22452,0.14483,0.415529,0.238006,1.338782,1.861708,0.117041,1.02877,0.798284,0.18161,0.141806,?,0.097834,0.111483,0.406293,0.137229,0.156682,0.157499,1.528484,Control,Memantine,C/S,c-CS-m
309_8,0.416923,0.564036,0.327703,2.260135,4.268735,0.214834,0.179668,2.007985,0.189803,1.424601,0.501075,0.283016,0.358876,0.25645,0.818643,0.478501,1.409398,1.857033,0.489558,0.628071,0.360719,0.360719,0.171837,1.077396,2.550215,1.316646,0.250614,0.265356,0.676597,0.159552,0.375461,2.281173,0.328163,0.407248,0.322789,0.695178,0.525031,0.340141,0.509828,0.338299,0.298526,0.392967,0.440418,0.147848,0.681941,0.174599,1.795781,0.288523,0.288608,1.152068,0.152405,0.154515,0.182869,0.099494,0.140169,0.158734,0.119578,0.116203,0.246835,0.13443,0.451139,0.241435,1.386076,1.969451,0.116878,0.943544,0.843966,0.191561,0.141013,?,0.099494,0.11308,0.382532,0.123376,0.155612,0.159409,1.652658,Control,Memantine,C/S,c-CS-m
309_9,0.386311,0.538428,0.31772,2.125725,4.06395,0.207222,0.167778,1.861514,0.180684,1.261891,0.476653,0.266966,0.337007,0.242604,0.74826,0.458962,1.341792,1.822071,0.464472,0.600638,0.326566,0.328886,0.170389,1.008846,2.4346,1.25203,0.230423,0.25261,0.635586,0.154147,0.351218,2.139211,0.309165,0.37848,0.294519,0.636891,0.484919,0.323376,0.479988,0.312065,0.279292,0.357599,0.421694,0.150121,0.710808,0.167472,1.805249,0.294458,0.294113,1.107907,0.15884,0.148653,0.178522,0.105145,0.137776,0.160394,0.123964,0.116799,0.233857,0.132597,0.455974,0.236015,1.404178,1.958736,0.113864,0.94691,0.832182,0.186378,0.139589,?,0.105145,0.10549,0.435687,0.125173,0.152711,0.158235,1.834599,Control,Memantine,C/S,c-CS-m
309_10,0.380827,0.499294,0.362462,2.096266,3.598587,0.227649,0.188093,1.717861,0.188093,1.414329,0.455499,0.324117,0.368315,0.283754,0.743491,0.444198,1.355399,1.783249,0.493037,0.570535,0.335419,0.392129,0.198385,0.906155,2.169929,1.248234,0.257719,0.301514,0.636731,0.174369,0.380424,1.922906,0.373966,0.433502,0.394349,0.742079,0.553179,0.357215,0.530979,0.358628,0.336024,0.426034,0.505752,0.140063,0.637927,0.175585,1.926596,0.301821,0.249775,0.93098,0.145459,0.166254,0.171088,0.0933,0.124438,0.150629,0.117581,0.126574,0.224146,0.148156,0.410971,0.244829,1.288669,1.818907,0.139951,0.970324,0.803395,0.189523,0.183678,?,0.0933,0.116906,0.414793,0.146133,0.188849,0.192334,1.516862,Control,Memantine,C/S,c-CS-m
309_11,0.366511,0.513278,0.327792,2.072572,3.661058,0.229475,0.193797,1.724508,0.185283,1.31867,0.46118,0.29029,0.379485,0.271235,0.76566,0.449422,1.297993,1.756132,0.509832,0.547537,0.346037,0.36266,0.196229,0.891952,2.171904,1.231097,0.266167,0.26272,0.635313,0.169674,0.418812,1.957835,0.346848,0.428137,0.352118,0.693087,0.546726,0.343807,0.524022,0.341374,0.323535,0.406649,0.513278,0.144505,0.662097,0.173292,1.902902,0.298378,0.275417,0.899018,0.144391,0.169979,0.183802,0.094357,0.12817,0.149989,0.126,0.119717,0.235549,0.13411,0.429404,0.250628,1.326708,1.861549,0.126799,0.94037,0.842472,0.19077,0.168037,?,0.094357,0.131254,0.385424,0.151816,0.184601,0.193055,1.613548,Control,Memantine,C/S,c-CS-m
309_12,0.364154,0.499411,0.355124,2.006871,3.466627,0.216333,0.204358,1.672556,0.190224,1.166078,0.447193,0.277189,0.361406,0.264429,0.743031,0.443856,1.250098,1.690813,0.492344,0.549863,0.323125,0.344719,0.19788,0.862583,2.108755,1.20691,0.243424,0.281311,0.615823,0.160581,0.36808,1.887711,0.333922,0.408912,0.334511,0.666274,0.529054,0.326266,0.5053,0.330978,0.319199,0.384766,0.50157,0.1423,0.675065,0.180151,2.001656,0.306837,0.28732,0.967708,0.159451,0.155548,0.174119,0.098415,0.135557,0.160752,0.127987,0.115448,0.236338,0.141117,0.455051,0.249704,1.303052,1.913532,0.124202,0.911521,0.836172,0.194819,0.166312,?,0.098415,0.125266,0.442394,0.149988,0.191862,0.195529,1.722971,Control,Memantine,C/S,c-CS-m
309_13,0.364873,0.482102,0.312539,1.946201,3.349592,0.230898,0.188821,1.508687,0.171028,1.35336,0.471844,0.272137,0.34059,0.256018,0.723048,0.417417,1.226711,1.737701,0.461168,0.494871,0.38497,0.339544,0.199288,0.869583,1.925686,1.149048,0.273812,0.256018,0.612728,0.164748,0.366339,1.749215,0.322378,0.426418,0.373665,0.690391,0.528156,0.353151,0.52062,0.325937,0.332426,0.466611,0.464099,0.126796,0.589503,0.167403,1.904006,0.279696,0.24489,0.944061,0.137845,0.176381,0.175276,0.097652,0.123757,0.15,0.117403,0.126657,0.223481,0.141989,0.395442,0.277624,1.251934,1.760635,0.160773,0.997238,0.809807,0.203315,0.200276,?,0.097652,0.126934,0.440331,0.16837,0.236878,0.214088,1.426934,Control,Memantine,C/S,c-CS-m
309_14,0.381911,0.485914,0.310951,1.958907,3.34929,0.2258,0.188519,1.509002,0.179835,1.219657,0.463249,0.284262,0.360305,0.262868,0.755348,0.418979,1.197204,1.686083,0.485067,0.524465,0.343359,0.347172,0.214573,0.814022,1.956577,1.137895,0.23978,0.256725,0.579115,0.164372,0.367295,1.770599,0.33997,0.427028,0.370684,0.689049,0.524042,0.337217,0.495658,0.329379,0.321966,0.403728,0.462826,0.134299,0.611166,0.170862,1.972578,0.283786,0.254957,0.929546,0.136408,0.172971,0.174378,0.094642,0.142315,0.154409,0.117283,0.123893,0.244832,0.136127,0.415413,0.252004,1.288708,1.792434,0.131346,0.980875,0.832794,0.190128,0.196034,?,0.094642,0.125018,0.422163,0.178737,0.215581,0.225285,1.50007,Control,Memantine,C/S,c-CS-m
309_15,0.37441,0.462313,0.344629,1.861162,3.287123,0.221811,0.185459,1.444239,0.176422,1.123023,0.426987,0.266174,0.325734,0.279524,0.695831,0.410557,1.158143,1.655781,0.465393,0.510166,0.351818,0.359417,0.184021,0.789484,1.885192,1.125899,0.230643,0.24235,0.557404,0.158349,0.356541,1.710002,0.326967,0.387349,0.358595,0.657014,0.519203,0.323475,0.476278,0.309715,0.336414,0.36907,0.45841,0.122779,0.626361,0.161032,1.959456,0.285817,0.269771,0.903582,0.142693,0.163181,0.173352,0.09914,0.130372,0.151862,0.119054,0.118481,0.237249,0.136963,0.434527,0.249284,1.251289,1.764756,0.125501,0.942407,0.80616,0.19384,0.183954,?,0.09914,0.125788,0.446562,0.160602,0.227937,0.224212,1.613897,Control,Memantine,C/S,c-CS-m
311_1,0.743118,0.862653,0.377742,2.735757,6.06757,0.219049,0.185338,2.277492,0.194465,2.379508,1.081555,0.355366,0.38363,0.299426,0.956131,0.790961,1.897836,1.711026,0.387163,0.85647,0.537612,0.386133,0.175622,1.491241,4.112616,1.463713,0.272045,0.287649,0.790078,0.168556,0.42161,2.620197,0.387163,0.517297,0.373767,0.872369,0.796702,0.540851,0.651259,0.523333,0.407478,0.546592,0.225085,0.201228,0.908533,0.191338,0.942728,0.285391,0.294118,1.347123,0.115902,0.226244,0.192243,0.138655,0.129412,0.157919,0.182547,0.136975,0.233549,0.132579,0.355074,0.233484,1.127408,1.683323,0.13788,1.177893,0.674984,0.178474,0.138526,0.178604,0.138655,?,0.440142,0.129606,0.165288,0.163995,1.29722,Control,Memantine,C/S,c-CS-m
