Month,Fortified,Red,Rose,sparkling,Sweet-white,Dry-white
01-80,2585,464,112,1686,85,1954
02-80,3368,675,118,1591,89,2302
03-80,3210,703,129,2304,109,3054
04-80,3111,887,99,1712,95,2414
05-80,3756,1139,116,1471,91,2226
06-80,4216,1077,168,1377,95,2725
07-80,5225,1318,118,1966,96,2589
08-80,4426,1260,129,2453,128,3470
09-80,3932,1120,205,1984,124,2400
10-80,3816,963,147,2596,111,3180
11-80,3661,996,150,4087,178,4009
12-80,3795,960,267,5179,140,3924
01-81,2285,530,126,1530,150,2072
02-81,2934,883,129,1523,132,2434
03-81,2985,894,124,1633,155,2956
04-81,3646,1045,97,1976,132,2828
05-81,4198,1199,102,1170,91,2687
06-81,4935,1287,127,1480,94,2629
07-81,5618,1565,222,1781,109,3150
08-81,5454,1577,214,2472,155,4119
09-81,3624,1076,118,1981,123,3030
10-81,2898,918,141,2273,130,3055
11-81,3802,1008,154,3857,150,3821
12-81,3629,1063,226,4551,163,4001
01-82,2369,544,89,1510,101,2529
02-82,2511,635,77,1329,123,2472
03-82,3079,804,82,1518,127,3134
04-82,3728,980,97,1790,112,2789
05-82,4151,1018,127,1537,108,2758
06-82,4326,1064,121,1449,116,2993
07-82,5054,1404,117,1954,153,3282
08-82,5138,1286,117,1897,163,3437
09-82,3310,1104,106,1706,128,2804
10-82,3508,999,112,2514,142,3076
11-82,3790,996,134,3593,170,3782
12-82,3446,1015,169,4524,214,3889
01-83,2127,615,75,1609,134,2271
02-83,2523,722,108,1638,122,2452
03-83,3017,832,115,2030,142,3084
04-83,3265,977,85,1375,156,2522
05-83,3822,1270,101,1320,145,2769
06-83,4027,1437,108,1245,169,3438
07-83,4420,1520,109,1600,134,2839
08-83,5255,1708,124,2298,165,3746
09-83,4009,1151,105,2191,156,2632
10-83,3074,934,95,2511,111,2851
11-83,3465,1159,135,3440,165,3871
12-83,3718,1209,164,4923,197,3618
01-84,1954,699,88,1609,124,2389
02-84,2604,830,85,1435,124,2344
03-84,3626,996,112,2061,139,2678
04-84,2836,1124,87,1789,137,2492
05-84,4042,1458,91,1567,127,2858
06-84,3584,1270,87,1404,134,2246
07-84,4225,1753,87,1597,136,2800
08-84,4523,2258,142,3159,171,3869
09-84,2892,1208,95,1759,112,3007
10-84,2876,1241,108,2504,110,3023
11-84,3420,1265,139,4273,147,3907
12-84,3159,1828,159,5274,196,4209
01-85,2101,809,61,1771,112,2353
02-85,2181,997,82,1682,118,2570
03-85,2724,1164,124,1846,125,2903
04-85,2954,1205,93,1589,122,2910
05-85,4092,1538,108,1896,120,3782
06-85,3470,1513,75,1379,118,2759
07-85,3990,1378,87,1645,281,2931
08-85,4239,2083,103,2512,344,3641
09-85,2855,1357,90,1771,366,2794
10-85,2897,1536,108,3727,362,3070
11-85,3433,1526,123,4388,580,3576
12-85,3307,1376,129,5434,523,4106
01-86,1914,779,57,1606,348,2452
02-86,2214,1005,65,1523,246,2206
03-86,2320,1193,67,1577,197,2488
04-86,2714,1522,71,1605,306,2416
05-86,3633,1539,76,1765,279,2534
06-86,3295,1546,67,1403,280,2521
07-86,4377,2116,110,2584,358,3093
08-86,4442,2326,118,3318,431,3903
09-86,2774,1596,99,1562,448,2907
10-86,2840,1356,85,2349,433,3025
11-86,2828,1553,107,3987,504,3812
12-86,3758,1613,141,5891,579,4209
01-87,1610,814,58,1389,384,2138
02-87,1968,1150,65,1442,335,2419
03-87,2248,1225,70,1548,320,2622
04-87,3262,1691,86,1935,496,2912
05-87,3164,1759,93,1518,448,2708
06-87,2972,1754,74,1250,377,2798
07-87,4041,2100,87,1847,523,3254
08-87,3402,2062,73,1930,468,2895
09-87,2898,2012,101,2638,428,3263
10-87,2555,1897,100,3114,520,3736
11-87,3056,1964,96,4405,493,4077
12-87,3717,2186,157,7242,662,4097
01-88,1755,966,63,1853,304,2175
02-88,2193,1549,115,1779,308,3138
03-88,2198,1538,70,2108,313,2823
04-88,2777,1612,66,2336,328,2498
05-88,3076,2078,67,1728,354,2822
06-88,3389,2137,83,1661,338,2738
07-88,4231,2907,79,2230,483,4137
08-88,3118,2249,77,1645,355,3515
09-88,2524,1883,102,2421,439,3785
10-88,2280,1739,116,3740,290,3632
11-88,2862,1828,100,4988,352,4504
12-88,3502,1868,135,6757,454,4451
01-89,1558,1138,71,1757,306,2550
02-89,1940,1430,60,1394,303,2867
03-89,2226,1809,89,1982,344,3458
04-89,2676,1763,74,1650,254,2961
05-89,3145,2200,73,1654,309,3163
06-89,3224,2067,91,1406,310,2880
07-89,4117,2503,86,1971,379,3331
08-89,3446,2141,74,1968,294,3062
09-89,2482,2103,87,2608,356,3534
10-89,2349,1972,87,3845,318,3622
11-89,2986,2181,109,4514,405,4464
12-89,3163,2344,137,6694,545,5411
01-90,1651,970,43,1720,268,2564
02-90,1725,1199,69,1321,243,2820
03-90,2622,1718,73,1859,273,3508
04-90,2316,1683,77,1628,273,3088
05-90,2976,2025,69,1615,236,3299
06-90,3263,2051,76,1457,222,2939
07-90,3951,2439,78,1899,302,3320
08-90,2917,2353,70,1605,285,3418
09-90,2380,2230,83,2424,309,3604
10-90,2458,1852,65,3116,322,3495
11-90,2883,2147,110,4286,362,4163
12-90,2579,2286,132,6047,471,4882
01-91,1330,1007,54,1902,198,2211
02-91,1686,1665,55,2049,253,3260
03-91,2457,1642,66,1874,173,2992
04-91,2514,1518,65,1279,186,2425
05-91,2834,1831,60,1432,185,2707
06-91,2757,2207,65,1540,105,3244
07-91,3425,2822,96,2214,228,3965
08-91,3006,2393,55,1857,214,3315
09-91,2369,2306,71,2408,189,3333
10-91,2017,1785,63,3252,270,3583
11-91,2507,2047,74,3627,277,4021
12-91,3168,2171,106,6153,378,4904
01-92,1545,1212,34,1577,185,2252
02-92,1643,1335,47,1667,182,2952
03-92,2112,2011,56,1993,258,3573
04-92,2415,1860,53,1997,179,3048
05-92,2862,1954,53,1783,197,3059
06-92,2822,2152,55,1625,168,2731
07-92,3260,2835,67,2076,250,3563
08-92,2606,2224,52,1773,211,3092
09-92,2264,2182,46,2377,260,3478
10-92,2250,1992,51,3088,234,3478
11-92,2545,2389,58,4096,305,4308
12-92,2856,2724,91,6119,347,5029
01-93,1208,891,33,1494,203,2075
02-93,1412,1247,40,1564,217,3264
03-93,1964,2017,46,1898,227,3308
04-93,2018,2257,45,2121,242,3688
05-93,2329,2255,41,1831,185,3136
06-93,2660,2255,55,1515,175,2824
07-93,2923,3057,57,2048,252,3644
08-93,2626,3330,54,2795,319,4694
09-93,2132,1896,46,1749,202,2914
10-93,1772,2096,52,3339,254,3686
11-93,2526,2374,48,4227,336,4358
12-93,2755,2535,77,6410,431,5587
01-94,1154,1041,30,1197,150,2265
02-94,1568,1728,35,1968,280,3685
03-94,1965,2201,42,1720,187,3754
04-94,2659,2455,48,1725,279,3708
05-94,2354,2204,44,1674,193,3210
06-94,2592,2660,45,1693,227,3517
07-94,2714,3670,NA,2031,225,3905
08-94,2294,2665,NA,1495,205,3670
09-94,2416,2639,46,2968,259,4221
10-94,2016,2226,51,3385,254,4404
11-94,2799,2586,63,3729,275,5086
12-94,2467,2684,84,5999,394,5725
