year;month;day;weekday;hour;load;temp;holiday
2007;Jan;1;Mon;1;1048.3688;24;feriado
2007;Jan;1;Mon;2;974.552;23.2;feriado
2007;Jan;1;Mon;3;946.0908;23.4;feriado
2007;Jan;1;Mon;4;890.6499;22.6;feriado
2007;Jan;1;Mon;5;824.8973;22.4;feriado
2007;Jan;1;Mon;6;784.5056;22;feriado
2007;Jan;1;Mon;7;763.4991;23;feriado
2007;Jan;1;Mon;8;707.8501;25;feriado
2007;Jan;1;Mon;9;668.2881;27.4;feriado
2007;Jan;1;Mon;10;685.3779;30;feriado
2007;Jan;1;Mon;11;717.5168;31;feriado
2007;Jan;1;Mon;12;754.9149;31.6;feriado
2007;Jan;1;Mon;13;787.6584;33.2;feriado
2007;Jan;1;Mon;14;810.1741;34.2;feriado
2007;Jan;1;Mon;15;814.8882;34.8;feriado
2007;Jan;1;Mon;16;813.8262;35;feriado
2007;Jan;1;Mon;17;816.0823;35.6;feriado
2007;Jan;1;Mon;18;814.252;35.4;feriado
2007;Jan;1;Mon;19;816;33.8;feriado
2007;Jan;1;Mon;20;812.783;32.2;feriado
2007;Jan;1;Mon;21;804.6889;29;feriado
2007;Jan;1;Mon;22;836.1165;28.2;feriado
2007;Jan;1;Mon;23;1020.0527;28.8;feriado
2007;Jan;1;Mon;24;1096.4411;28.4;feriado
2007;Jan;2;Tue;1;1090.3911;27.4;regular
2007;Jan;2;Tue;2;1031.1176;25;regular
2007;Jan;2;Tue;3;954.8726;24.8;regular
2007;Jan;2;Tue;4;892.1046;24.6;regular
2007;Jan;2;Tue;5;854.6875;24.2;regular
2007;Jan;2;Tue;6;844.4966;25;regular
2007;Jan;2;Tue;7;855.2376;23.8;regular
2007;Jan;2;Tue;8;861.6422;24.2;regular
2007;Jan;2;Tue;9;885.0495;24.6;regular
2007;Jan;2;Tue;10;965.9917;24;regular
2007;Jan;2;Tue;11;1038.3661;23.8;regular
2007;Jan;2;Tue;12;1082.3979;25;regular
2007;Jan;2;Tue;13;1107.705;25.2;regular
2007;Jan;2;Tue;14;1119.7596;25;regular
2007;Jan;2;Tue;15;1129.2287;24.4;regular
2007;Jan;2;Tue;16;1132.8597;24.6;regular
2007;Jan;2;Tue;17;1123.3755;23.6;regular
2007;Jan;2;Tue;18;1112.0892;23.4;regular
2007;Jan;2;Tue;19;1086.2742;23;regular
2007;Jan;2;Tue;20;1057.2804;23;regular
2007;Jan;2;Tue;21;1027.632;23;regular
2007;Jan;2;Tue;22;1059.9011;23;regular
2007;Jan;2;Tue;23;1194.4755;23;regular
2007;Jan;2;Tue;24;1194.3723;23;regular
2007;Jan;3;Wed;1;1134.495;23;regular
2007;Jan;3;Wed;2;1040.1735;23.1;regular
2007;Jan;3;Wed;3;950.9519;23.3;regular
2007;Jan;3;Wed;4;890.6111;23.5;regular
2007;Jan;3;Wed;5;861.5679;22.7;regular
2007;Jan;3;Wed;6;840.4774;22.6;regular
2007;Jan;3;Wed;7;853.9125;22.8;regular
2007;Jan;3;Wed;8;872.4824;23.6;regular
2007;Jan;3;Wed;9;886.0894;23.4;regular
2007;Jan;3;Wed;10;962.0451;23.6;regular
2007;Jan;3;Wed;11;1033.5691;24;regular
2007;Jan;3;Wed;12;1077.7819;24.4;regular
2007;Jan;3;Wed;13;1109.9468;25;regular
2007;Jan;3;Wed;14;1124.6324;27.2;regular
2007;Jan;3;Wed;15;1135.338;26;regular
2007;Jan;3;Wed;16;1132.3271;25.2;regular
2007;Jan;3;Wed;17;1128.3973;24.8;regular
2007;Jan;3;Wed;18;1115.3327;24.2;regular
2007;Jan;3;Wed;19;1097.6957;23.6;regular
2007;Jan;3;Wed;20;1062.021;23.4;regular
2007;Jan;3;Wed;21;1031.4116;23.4;regular
2007;Jan;3;Wed;22;1062.4371;22.7;regular
2007;Jan;3;Wed;23;1201.8434;23;regular
2007;Jan;3;Wed;24;1215.3684;23.6;regular
2007;Jan;4;Thu;1;1155.1757;23.4;regular
2007;Jan;4;Thu;2;1054.9416;23.4;regular
2007;Jan;4;Thu;3;960.2645;23.4;regular
2007;Jan;4;Thu;4;898.9299;23.2;regular
2007;Jan;4;Thu;5;868.2224;23.2;regular
2007;Jan;4;Thu;6;853.636;23.2;regular
2007;Jan;4;Thu;7;863.3962;24;regular
2007;Jan;4;Thu;8;879.5969;24;regular
2007;Jan;4;Thu;9;903.0256;25.4;regular
2007;Jan;4;Thu;10;976.3472;25.6;regular
2007;Jan;4;Thu;11;1045.4808;26.4;regular
2007;Jan;4;Thu;12;1088.7;26.8;regular
2007;Jan;4;Thu;13;1117.6849;27;regular
2007;Jan;4;Thu;14;1140.6282;27.4;regular
2007;Jan;4;Thu;15;1158.7293;27.2;regular
2007;Jan;4;Thu;16;1153.1887;27;regular
2007;Jan;4;Thu;17;1146.6604;26.6;regular
2007;Jan;4;Thu;18;1132.7945;25.4;regular
2007;Jan;4;Thu;19;1113.9324;25;regular
2007;Jan;4;Thu;20;1077.9891;23.4;regular
2007;Jan;4;Thu;21;1045.4739;23.6;regular
2007;Jan;4;Thu;22;1081.284;23.4;regular
2007;Jan;4;Thu;23;1231.7719;23.2;regular
2007;Jan;4;Thu;24;1235.8254;23;regular
2007;Jan;5;Fri;1;1170.7485;22.8;regular
2007;Jan;5;Fri;2;1072.3793;22.8;regular
2007;Jan;5;Fri;3;977.8202;22.6;regular
2007;Jan;5;Fri;4;913.4189;22.8;regular
2007;Jan;5;Fri;5;876.7926;22.6;regular
2007;Jan;5;Fri;6;867.4185;22.8;regular
2007;Jan;5;Fri;7;880.31;21.4;regular
2007;Jan;5;Fri;8;896.5515;21.6;regular
2007;Jan;5;Fri;9;915.3548;21.4;regular
2007;Jan;5;Fri;10;973.4992;21.4;regular
2007;Jan;5;Fri;11;1019.1656;22.2;regular
2007;Jan;5;Fri;12;1051.4707;22.8;regular
2007;Jan;5;Fri;13;1076.3661;23.2;regular
2007;Jan;5;Fri;14;1081.644;23.4;regular
2007;Jan;5;Fri;15;1077.3454;23.6;regular
2007;Jan;5;Fri;16;1069.9841;24;regular
2007;Jan;5;Fri;17;1059.973;22.6;regular
2007;Jan;5;Fri;18;1044.7303;21.2;regular
2007;Jan;5;Fri;19;1029.4577;21.2;regular
2007;Jan;5;Fri;20;999.7719;20.8;regular
2007;Jan;5;Fri;21;980.9443;20.6;regular
2007;Jan;5;Fri;22;1008.1846;20.4;regular
2007;Jan;5;Fri;23;1145.1618;20.2;regular
2007;Jan;5;Fri;24;1149.9042;20.4;regular
2007;Jan;6;Sat;1;1096.2338;20.2;feriado
2007;Jan;6;Sat;2;1008.6936;20;feriado
2007;Jan;6;Sat;3;916.892;20;feriado
2007;Jan;6;Sat;4;850.8444;19.6;feriado
2007;Jan;6;Sat;5;811.5444;19.4;feriado
2007;Jan;6;Sat;6;795.193;19.2;feriado
2007;Jan;6;Sat;7;793.6905;19.4;feriado
2007;Jan;6;Sat;8;771.8771;22.4;feriado
2007;Jan;6;Sat;9;757.801;21;feriado
2007;Jan;6;Sat;10;795.5215;21.4;feriado
2007;Jan;6;Sat;11;838.5221;20.8;feriado
2007;Jan;6;Sat;12;867.1329;21.6;feriado
2007;Jan;6;Sat;13;893.8215;21.6;feriado
2007;Jan;6;Sat;14;913.3451;23.4;feriado
2007;Jan;6;Sat;15;914.9128;23.4;feriado
2007;Jan;6;Sat;16;896.7326;23.4;feriado
2007;Jan;6;Sat;17;886.2579;23;feriado
2007;Jan;6;Sat;18;882.8424;22.2;feriado
2007;Jan;6;Sat;19;891.5339;21.8;feriado
2007;Jan;6;Sat;20;892.5708;21.2;feriado
2007;Jan;6;Sat;21;894.3405;21.2;feriado
2007;Jan;6;Sat;22;927.6042;21;feriado
2007;Jan;6;Sat;23;1095.4621;19.6;feriado
2007;Jan;6;Sat;24;1111.0274;18.8;feriado
2007;Jan;7;Sun;1;1055.9833;17.4;regular
2007;Jan;7;Sun;2;962.9807;17;regular
2007;Jan;7;Sun;3;874.86;16.8;regular
2007;Jan;7;Sun;4;801.1164;16.2;regular
2007;Jan;7;Sun;5;761.4556;16.2;regular
2007;Jan;7;Sun;6;751.0817;16;regular
2007;Jan;7;Sun;7;737.0299;18;regular
2007;Jan;7;Sun;8;700.8427;20.4;regular
2007;Jan;7;Sun;9;672.2302;21.4;regular
2007;Jan;7;Sun;10;702.8108;23;regular
2007;Jan;7;Sun;11;742.3687;23;regular
2007;Jan;7;Sun;12;775.8303;23;regular
2007;Jan;7;Sun;13;805.6218;23.6;regular
2007;Jan;7;Sun;14;822.6037;23.6;regular
2007;Jan;7;Sun;15;831.4014;23.6;regular
2007;Jan;7;Sun;16;821.2309;23;regular
2007;Jan;7;Sun;17;807.5952;23.2;regular
2007;Jan;7;Sun;18;802.9606;22.6;regular
2007;Jan;7;Sun;19;812.9983;21.6;regular
2007;Jan;7;Sun;20;821.8401;21.2;regular
2007;Jan;7;Sun;21;829.2008;21;regular
2007;Jan;7;Sun;22;891.2591;20.6;regular
2007;Jan;7;Sun;23;1057.7228;20;regular
2007;Jan;7;Sun;24;1082.0924;19.6;regular
2007;Jan;8;Mon;1;1020.4722;19;regular
2007;Jan;8;Mon;2;928.6394;18.6;regular
