@relation X3.18_cut7
@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute class {'[0,7)','[7,Inf)'}
@data
0,0,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,2.875,12709343,2.0069516,6.221531,1.598437e-10,9.298325e-06,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,2.8,6888438,1.0034306,3.1986814,0.01033605,-0.08774567,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,2.7,0,340.65695,151.44028,35.972916,0,0,0,2.7,6425728,1.0034412,3.1296017,0.0014344385,-0.3188691,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0,0,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,2.75,7160705.5,1.2255238,3.7152433,0.003080839,-0.031555414,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.01195097,0,0,0,0,2.6,0,340.65695,151.44028,35.972916,0,0,0,2.6999998,10086641,1.2008562,3.5873644,0.00086540706,0.012661219,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.011567235,0,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,2.8999999,20859286,0.8197884,2.7224393,0.0009579372,-0.020905018,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.013252497,0,0,0,0,3.4,0,340.65695,151.44028,35.972916,0,0,0,3.0749998,22746828,0.65555537,2.3608856,0.012653614,-0.20135188,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.03094256,0,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,3.0749998,17955418,0.6555548,2.360884,0.012653609,-0.2013526,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.06910294,0.01195097,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,3.1,12269832,0.7610927,2.7044406,0.010237338,-0.15336537,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
0.07077712,0.011567235,0,0,0,0,0,340.65695,151.44028,35.972916,0,0,0,2.9750001,13351241,0.8401335,2.8444502,0.0005240348,0.014287949,0,0,0,0,0,0,0,0,0,0,0,0,'[0,7)'
