@relation EQP_4-18_unspecified-unspecified_prediction-horizon-7days

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.5_indep_bA numeric
@attribute T3.6_indep_bA numeric
@attribute T3.7_indep_bA numeric
@attribute T3.8_indep_bA numeric
@attribute T3.9_indep_bA numeric
@attribute T4_indep_bA numeric
@attribute Mmean_indep_bA numeric
@attribute dE12_indep_bA numeric
@attribute bA numeric
@attribute a_bA numeric
@attribute eta_bA numeric
@attribute deltaM_bA numeric
@attribute mu3.5_indep_bA numeric
@attribute mu3.6_indep_bA numeric
@attribute mu3.7_indep_bA numeric
@attribute mu3.8_indep_bA numeric
@attribute mu3.9_indep_bA numeric
@attribute mu4_indep_bA numeric
@attribute c3.5_indep_bA numeric
@attribute c3.6_indep_bA numeric
@attribute c3.7_indep_bA numeric
@attribute c3.8_indep_bA numeric
@attribute c3.9_indep_bA numeric
@attribute c4_indep_bA numeric
@attribute continuousClass numeric

@data
0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-115.3993,-115.3993,-115.3993,2.725,3869859.0,1.0034274,3.1106272,3.4295529E-12,-2.3841858E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-126.18402,-126.18402,-126.18402,2.725,3733850.8,1.0034274,3.1106274,3.5432397E-12,-2.6226044E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-120.58195,-120.58195,-120.58195,2.625,3009058.5,1.8953447,5.3515673,0.0022375102,-0.02353239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
0.0,0.0,0.0,0.0,0.0,2.5,0.0,354.23193,0.0,0.0,-49.904858,-49.904858,-49.904858,2.55,6460381.0,3.0100286,8.127118,7.3881284E-10,-1.3589859E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
0.06378353,0.0,0.0,0.0,0.0,2.5,0.0,354.23193,0.0,0.0,-35.108334,-35.108334,-35.108334,2.55,9183130.0,3.0100286,8.127118,7.3881284E-10,-1.3589859E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4
0.025920153,0.0,0.0,0.0,0.0,2.5,0.0,354.23193,0.0,0.0,-11.716666,-11.716666,-11.716666,2.55,4.6487324E7,3.0100286,8.127118,7.3881284E-10,-1.3589859E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0075290203,0.0,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-25.884027,-25.884027,-25.884027,2.725,2.104296E7,0.66894996,2.2744336,6.3096195E-12,-5.4836273E-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.00962317,0.0,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-40.485416,-40.485416,-40.485416,2.7749999,1.3730991E7,0.64603806,2.1690433,0.006896429,0.042545795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1
-0.035109878,0.06378353,0.0,0.0,0.0,2.6,0.0,354.23193,0.0,0.0,-40.494446,-40.494446,-40.494446,2.8000002,1.6402719E7,0.6122955,2.0594802,0.0056814663,0.0364604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011986494,0.025920153,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-47.50972,-47.50972,-47.50972,2.9500003,1.4497924E7,0.69475675,2.3945851,0.002199116,-0.046652555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.9604645E-7,0.0075290203,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-104.1875,-104.1875,-104.1875,2.7749999,5517306.5,1.1994764,3.7176225,5.7884076E-6,6.287098E-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.020647407,-0.00962317,0.0,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-150.03194,-150.03194,-150.03194,2.875,3812374.5,0.547463,1.9942665,8.414313E-4,-0.54274225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.061473608,-0.035109878,0.06378353,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-231.94652,-231.94652,-231.94652,2.895,2487819.5,0.5885976,2.1243002,0.002137006,-0.50908756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.038185,0.011986494,0.025920153,0.0,0.0,0.0,0.0,354.23193,0.0,0.0,-382.3868,-382.3868,-382.3868,2.7800002,2224792.2,1.1278081,3.4803593,0.00948971,0.014050007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10309291,-5.9604645E-7,0.0075290203,0.0,0.0,0.0,0.0,1389.6785,1379.2028,0.0,-413.64096,-413.64096,-413.64096,3.02,1997282.6,0.5427812,1.984252,0.0017784125,0.0042874813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10374701,0.020647407,-0.00962317,0.0,0.0,0.0,0.0,1389.6785,1379.2028,0.0,-471.85208,-471.85208,-471.85208,2.8700001,1586163.8,0.45846686,1.6608527,0.0086106965,0.03737688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
0.14651561,0.061473608,-0.035109878,0.06378353,0.0,2.74,0.0,1389.6785,1379.2028,0.0,-389.9375,-389.9375,-389.9375,2.885,1866338.8,0.4727532,1.7089458,0.0063386387,0.045120716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17305791,0.038185,0.011986494,0.025920153,0.0,0.0,0.0,1389.6785,1379.2028,0.0,-252.74652,-252.74652,-252.74652,2.8525,3066014.8,0.45185712,1.6339754,0.0064854454,0.04386711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14788377,0.10309291,-5.9604645E-7,0.0075290203,0.0,0.0,0.0,1389.6785,1379.2028,0.0,-168.7736,-168.7736,-168.7736,2.6675,2679354.2,1.2649714,3.7193642,0.0031597242,-0.020275354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.115355134,0.10374701,0.020647407,-0.00962317,0.0,0.0,0.0,1389.6785,1379.2028,0.0,-61.50278,-61.50278,-61.50278,2.7675,1.4077239E7,1.1890051,3.6356246,0.017328564,-0.13770294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12421489,0.14651561,0.061473608,-0.035109878,0.06378353,0.0,4.4201475E-5,1671.5931,1671.5931,1671.5931,-80.51667,-80.51667,-80.51667,3.0075,1.0642707E7,0.50538254,1.8649908,0.0046286057,0.009744167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13566267,0.17305791,0.038185,0.011986494,0.025920153,0.0,3.9933067E-5,1671.5931,1671.5931,1671.5931,-76.78472,-76.78472,-76.78472,3.0500002,1.2000843E7,0.5568875,2.0435598,0.0062640333,0.030390263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1371311,0.14788377,0.10309291,-5.9604645E-7,0.0075290203,0.0,2.8862112E-5,1671.5931,1671.5931,1671.5931,-64.77222,-64.77222,-64.77222,3.0525002,1.4259578E7,0.55998856,2.0544178,0.005837664,0.031321764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62
0.16112375,0.115355134,0.10374701,0.020647407,-0.00962317,2.93,2.416073E-5,1671.5931,1671.5931,1671.5931,-57.187504,-57.187504,-57.187504,3.0600002,1.5353995E7,0.60026413,2.225884,1.5100536E-4,-0.008174181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1665703,0.12421489,0.14651561,0.061473608,-0.035109878,0.0,1.3987053E-5,1671.5931,1671.5931,1671.5931,-64.879166,-64.879166,-64.879166,2.79,7159025.0,0.879566,2.8742995,8.878135E-4,-0.33786106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
0.13871133,0.13566267,0.17305791,0.038185,0.011986494,2.5,1.5317868E-5,1671.5931,1671.5931,1671.5931,-49.184723,-49.184723,-49.184723,2.745,9472199.0,0.6645423,2.244479,3.5827444E-4,-0.44748068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0063534975,0.1371311,0.14788377,0.10309291,-5.9604645E-7,0.0,2.7622787E-5,1671.5931,1671.5931,1671.5931,-57.585415,-57.585415,-57.585415,2.685,1.0034744E7,1.4302969,4.1853995,9.915986E-4,0.0037548542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.041395903,0.16112375,0.115355134,0.10374701,0.020647407,0.0,3.2158627E-5,1671.5931,1671.5931,1671.5931,-311.03543,-311.03543,-311.03543,2.7775,1995159.5,0.70215917,2.2953,0.0053078146,0.031083107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77
-0.099579215,0.1665703,0.12421489,0.14651561,0.061473608,3.1,2.7826829E-5,1671.5931,1671.5931,1671.5931,-286.12222,-286.12222,-286.12222,2.8975,2244614.2,0.6864208,2.3339572,0.004702747,-0.1001842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031442046,0.13871133,0.13566267,0.17305791,0.038185,0.0,1.2327423E-5,1671.5931,1671.5931,1671.5931,-381.7083,-381.7083,-381.7083,2.9650002,1682525.5,0.89294255,2.9926274,0.0032880101,-0.05142212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15
0.05167687,0.0063534975,0.1371311,0.14788377,0.10309291,2.5,1.9330218E-5,1671.5931,1671.5931,1671.5931,-363.00626,-363.00626,-363.00626,2.9175,2045572.8,0.7101892,2.4170299,0.005006516,-0.103360415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
0.08513987,-0.041395903,0.16112375,0.115355134,0.10374701,3.15,1.785987E-5,1671.5931,1671.5931,1671.5931,-105.64861,-105.64861,-105.64861,2.88,5347771.0,0.7740884,2.5744274,0.012678753,-0.1757536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
