@relation 'Tokyo-DS1'

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.6_indep_bM numeric
@attribute T3.7_indep_bM numeric
@attribute T3.8_indep_bM numeric
@attribute T3.9_indep_bM numeric
@attribute T4_indep_bM numeric
@attribute T4.1_indep_bM numeric
@attribute T4.2_indep_bM numeric
@attribute T4.3_indep_bM numeric
@attribute T4.4_indep_bM numeric
@attribute T4.5_indep_bM numeric
@attribute T4.6_indep_bM numeric
@attribute T4.7_indep_bM numeric
@attribute T4.8_indep_bM numeric
@attribute T4.9_indep_bM numeric
@attribute T5_indep_bM numeric
@attribute T5.1_indep_bM numeric
@attribute T5.2_indep_bM numeric
@attribute T5.3_indep_bM numeric
@attribute T5.4_indep_bM numeric
@attribute T5.5_indep_bM numeric
@attribute T5.6_indep_bM numeric
@attribute T5.7_indep_bM numeric
@attribute T5.8_indep_bM numeric
@attribute T5.9_indep_bM numeric
@attribute T6_indep_bM numeric
@attribute T6.1_indep_bM numeric
@attribute T6.2_indep_bM numeric
@attribute Mmean_indep_bM numeric
@attribute dE12_indep_bM numeric
@attribute bM numeric
@attribute a_bM numeric
@attribute eta_bM numeric
@attribute deltaM_bM numeric
@attribute mu3.6_indep_bM numeric
@attribute mu3.7_indep_bM numeric
@attribute mu3.8_indep_bM numeric
@attribute mu3.9_indep_bM numeric
@attribute mu4_indep_bM numeric
@attribute mu4.1_indep_bM numeric
@attribute mu4.2_indep_bM numeric
@attribute mu4.3_indep_bM numeric
@attribute mu4.4_indep_bM numeric
@attribute mu4.5_indep_bM numeric
@attribute mu4.6_indep_bM numeric
@attribute mu4.7_indep_bM numeric
@attribute mu4.8_indep_bM numeric
@attribute mu4.9_indep_bM numeric
@attribute mu5_indep_bM numeric
@attribute mu5.1_indep_bM numeric
@attribute mu5.2_indep_bM numeric
@attribute mu5.3_indep_bM numeric
@attribute mu5.4_indep_bM numeric
@attribute mu5.5_indep_bM numeric
@attribute mu5.6_indep_bM numeric
@attribute mu5.7_indep_bM numeric
@attribute mu5.8_indep_bM numeric
@attribute mu5.9_indep_bM numeric
@attribute mu6_indep_bM numeric
@attribute mu6.1_indep_bM numeric
@attribute mu6.2_indep_bM numeric
@attribute c3.6_indep_bM numeric
@attribute c3.7_indep_bM numeric
@attribute c3.8_indep_bM numeric
@attribute c3.9_indep_bM numeric
@attribute c4_indep_bM numeric
@attribute c4.1_indep_bM numeric
@attribute c4.2_indep_bM numeric
@attribute c4.3_indep_bM numeric
@attribute c4.4_indep_bM numeric
@attribute c4.5_indep_bM numeric
@attribute c4.6_indep_bM numeric
@attribute c4.7_indep_bM numeric
@attribute c4.8_indep_bM numeric
@attribute c4.9_indep_bM numeric
@attribute c5_indep_bM numeric
@attribute c5.1_indep_bM numeric
@attribute c5.2_indep_bM numeric
@attribute c5.3_indep_bM numeric
@attribute c5.4_indep_bM numeric
@attribute c5.5_indep_bM numeric
@attribute c5.6_indep_bM numeric
@attribute c5.7_indep_bM numeric
@attribute c5.8_indep_bM numeric
@attribute c5.9_indep_bM numeric
@attribute c6_indep_bM numeric
@attribute c6.1_indep_bM numeric
@attribute c6.2_indep_bM numeric
@attribute class5 {1,0}

@data
-0.001053,-0.000706,0.000354,-0.00142,0.003524,4.6,0.149038,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,7.14375,10.854167,12.179861,36.301388,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-9.018056,4.75,1592278400,0.275568,2.602531,0.085842,-4.144257,0,0,0,0,0,0,0,0,0,0,0.954861,0.954861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.001764,0.001061,-0.000706,-0.001424,0.002131,4.6,0.148678,3.784028,3.784028,3.784028,3.784028,3.784028,3.784028,3.784028,3.784028,7.14375,7.14375,7.14375,10.854167,12.179861,36.301388,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-3.800695,4.525,2613557500,0.275918,2.604133,0.085787,-4.138079,0,0,0,0,0,0,0,0,0,0,0.954861,0.954861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000701,-0.00247,-0.000714,0.002131,0.001053,4.6,0.148318,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.800695,3.800695,7.14375,10.854167,12.179861,36.301388,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-6.754167,4.5,1336676220,0.276269,2.604494,0.085751,-4.127394,0,0,0,0,0,0,0,0,0,0,1.709375,1.527778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.000698,-0.001406,0.000353,0,-0.001773,0,0.149758,5.226389,5.226389,5.226389,5.226389,5.226389,5.226389,5.226389,5.226389,3.800695,3.800695,7.14375,10.854167,12.179861,36.301388,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-15.718057,4.425,671061890,0.27487,2.596639,0.085324,-4.146792,0,0,0,0,0,0,0,3.352083,3.352083,0,1.890972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002826,-0.001053,-0.000706,0.000354,-0.00142,4.9,0.146157,13.84375,13.84375,13.84375,13.84375,13.84375,13.84375,13.84375,13.84375,17.245834,17.245834,17.627777,32.979168,32.979168,35.041664,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-18.029861,4.5,523081440,0.278394,2.613675,0.083683,-4.088406,0,0,0,0,0,0,0,3.352083,3.352083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.001048,-0.001764,0.001061,-0.000706,-0.001424,4.9,0.149758,18.013193,18.013193,18.013193,18.013193,18.013193,18.013193,18.013193,13.84375,17.245834,17.245834,17.627777,32.979168,32.979168,35.041664,50.801388,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-19.781944,4.475,635144830,0.27487,2.58994,0.089648,-4.122419,0,0,0,0,0,0,0,14.677778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.002439,0.000701,-0.00247,-0.000714,0.002131,5,0.150838,16.446527,16.446527,16.446527,16.446527,16.446527,16.446527,16.446527,19.781944,21.672916,21.672916,23.200695,29.473612,29.473612,29.473612,72.42778,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-20.288195,4.6,657597950,0.27383,2.590077,0.090541,-4.158703,0,0,0,0,0,0,0,14.677778,0,0,0,0,0,0,5.954861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.002072,-0.000698,-0.001406,0.000353,0,5,0.151917,9.796528,9.796528,9.796528,9.796528,9.796528,9.796528,9.796528,20.288195,23.623611,23.623611,25.514584,32.658337,29.473612,29.473612,72.42778,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-9.845834,4.7,1540776700,0.272798,2.586633,0.090554,-4.181863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.954861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.00628,0.002826,-0.001053,-0.000706,0.000354,5,0.152636,5.659722,5.659722,5.659722,5.659722,5.659722,5.659722,5.659722,9.845834,9.845834,9.845834,9.845834,9.845834,32.707638,29.473612,72.42778,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-6.577778,4.675,2215662340,0.272114,2.585871,0.089829,-4.202888,0,0,0,0,0,0,0,0,0,0,0,0,0.049306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.003096,-0.001048,-0.001764,0.001061,-0.000706,5,0.152996,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,4.809028,10.763889,29.473612,72.42778,78.79722,78.79722,200.95625,53.389584,53.389584,65.22708,65.22708,112.50625,83.26805,83.26805,0,-5.375694,4.825,2852797440,0.271774,2.586112,0.088957,-4.215684,0,0,0,0,0,0,0,0,0,0,0,0,0.483681,0.918056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.898062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
