@relation 'EQAgen:tokyo-short-BIG(12/02/2012-01:41-->unspecified_prediction-horizon:7days)-weka.filters.unsupervised.attribute.Remove-R1-2,10-16,104-214,216-227-weka.filters.unsupervised.attribute.RemoveByName-E^event|time|.*_indep_bA|.*2013.*|.*bA.*|continuousClass|class[^5].*|class5..$'

@attribute x1_bM numeric
@attribute x2_bM numeric
@attribute x3_bM numeric
@attribute x4_bM numeric
@attribute x5_bM numeric
@attribute x6_indep_bM numeric
@attribute x7_bM numeric
@attribute T3.6_indep_bM numeric
@attribute T3.7_indep_bM numeric
@attribute T3.8_indep_bM numeric
@attribute T3.9_indep_bM numeric
@attribute T4_indep_bM numeric
@attribute T4.1_indep_bM numeric
@attribute T4.2_indep_bM numeric
@attribute T4.3_indep_bM numeric
@attribute T4.4_indep_bM numeric
@attribute T4.5_indep_bM numeric
@attribute T4.6_indep_bM numeric
@attribute T4.7_indep_bM numeric
@attribute T4.8_indep_bM numeric
@attribute T4.9_indep_bM numeric
@attribute T5_indep_bM numeric
@attribute T5.1_indep_bM numeric
@attribute T5.2_indep_bM numeric
@attribute T5.3_indep_bM numeric
@attribute T5.4_indep_bM numeric
@attribute T5.5_indep_bM numeric
@attribute T5.6_indep_bM numeric
@attribute T5.7_indep_bM numeric
@attribute T5.8_indep_bM numeric
@attribute T5.9_indep_bM numeric
@attribute T6_indep_bM numeric
@attribute T6.1_indep_bM numeric
@attribute T6.2_indep_bM numeric
@attribute Mmean_indep_bM numeric
@attribute dE12_indep_bM numeric
@attribute bM numeric
@attribute a_bM numeric
@attribute eta_bM numeric
@attribute deltaM_bM numeric
@attribute mu3.6_indep_bM numeric
@attribute mu3.7_indep_bM numeric
@attribute mu3.8_indep_bM numeric
@attribute mu3.9_indep_bM numeric
@attribute mu4_indep_bM numeric
@attribute mu4.1_indep_bM numeric
@attribute mu4.2_indep_bM numeric
@attribute mu4.3_indep_bM numeric
@attribute mu4.4_indep_bM numeric
@attribute mu4.5_indep_bM numeric
@attribute mu4.6_indep_bM numeric
@attribute mu4.7_indep_bM numeric
@attribute mu4.8_indep_bM numeric
@attribute mu4.9_indep_bM numeric
@attribute mu5_indep_bM numeric
@attribute mu5.1_indep_bM numeric
@attribute mu5.2_indep_bM numeric
@attribute mu5.3_indep_bM numeric
@attribute mu5.4_indep_bM numeric
@attribute mu5.5_indep_bM numeric
@attribute mu5.6_indep_bM numeric
@attribute mu5.7_indep_bM numeric
@attribute mu5.8_indep_bM numeric
@attribute mu5.9_indep_bM numeric
@attribute mu6_indep_bM numeric
@attribute mu6.1_indep_bM numeric
@attribute mu6.2_indep_bM numeric
@attribute c3.6_indep_bM numeric
@attribute c3.7_indep_bM numeric
@attribute c3.8_indep_bM numeric
@attribute c3.9_indep_bM numeric
@attribute c4_indep_bM numeric
@attribute c4.1_indep_bM numeric
@attribute c4.2_indep_bM numeric
@attribute c4.3_indep_bM numeric
@attribute c4.4_indep_bM numeric
@attribute c4.5_indep_bM numeric
@attribute c4.6_indep_bM numeric
@attribute c4.7_indep_bM numeric
@attribute c4.8_indep_bM numeric
@attribute c4.9_indep_bM numeric
@attribute c5_indep_bM numeric
@attribute c5.1_indep_bM numeric
@attribute c5.2_indep_bM numeric
@attribute c5.3_indep_bM numeric
@attribute c5.4_indep_bM numeric
@attribute c5.5_indep_bM numeric
@attribute c5.6_indep_bM numeric
@attribute c5.7_indep_bM numeric
@attribute c5.8_indep_bM numeric
@attribute c5.9_indep_bM numeric
@attribute c6_indep_bM numeric
@attribute c6.1_indep_bM numeric
@attribute c6.2_indep_bM numeric
@attribute class5 {0,1}

@data
0.002841,0.003813,0.006017,-0.000984,0.000329,4.1,0.145436,4.6125,4.6125,4.6125,4.6125,4.6125,4.6125,2.838889,4.684028,9.139584,10.439584,10.45,25.30139,12.484028,11.936806,16.872223,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-8.806251,4.4,1133766780,0.27911,2.604343,0.074636,-3.830899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.003551,0.004144,0.005008,0.000654,-0.000982,4.8,0.145075,8.805555,8.805555,8.805555,8.805555,8.805555,8.805555,8.806251,8.806251,13.268056,13.268056,19.24514,19.25625,36.61389,11.936806,16.872223,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-10.075695,4.425,859199490,0.279469,2.606391,0.07484,-3.826234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002826,-0.000701,0.006521,0.003636,-0.000982,4.8,0.146157,9.569445,9.569445,9.569445,9.569445,9.569445,9.569445,10.075695,10.075695,13.268056,13.268056,19.24514,19.25625,36.61389,11.936806,16.872223,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-10.749305,4.375,1045669380,0.278394,2.601735,0.075208,-3.84552,0,0,0,0,0,0,0,9.569445,9.569445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.001801,0.00287,0.006587,0.00433,-0.000987,5,0.145796,6.64375,6.64375,6.64375,6.64375,6.64375,6.64375,10.749305,10.749305,11.25625,11.25625,15.718057,15.718057,37.49653,49.041664,49.433334,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-7.696528,4.55,1460427260,0.278751,2.602897,0.074489,-3.837704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.000358,0.002841,0.003813,0.006017,-0.000984,5,0.145796,3.502778,3.502778,3.502778,3.502778,3.502778,3.502778,3.502778,3.502778,11.25625,11.25625,15.718057,15.718057,37.49653,49.041664,49.433334,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-4.379167,4.6,2655683070,0.278751,2.603631,0.074833,-3.840343,0,0,0,0,0,0,0,2.232639,2.232639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.001787,0.003551,0.004144,0.005008,0.000654,5,0.146877,3.109028,3.109028,3.109028,3.109028,3.109028,3.109028,3.109028,3.109028,11.25625,11.25625,15.718057,15.718057,37.49653,49.041664,49.433334,16.872223,34.57639,34.57639,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-3.874306,4.475,4121085950,0.277682,2.598758,0.075032,-3.85876,0,0,0,0,0,0,0,1.554514,1.554514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43623,0.43623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000357,0.002826,-0.000701,0.006521,0.003636,5.3,0.145796,2.694444,2.694444,2.694444,2.694444,2.694444,2.694444,2.694444,2.694444,13.95,13.95,13.950695,13.950695,39.252083,41.758335,51.73611,52.127773,58.630554,58.630554,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-3.370833,4.725,4811189800,0.278751,2.60611,0.071861,-3.849231,0,0,0,0,0,0,0,0.876389,0.876389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.001801,0.00287,0.006587,0.00433,5.3,0.145796,2.318056,2.318056,2.318056,2.318056,2.318056,2.318056,2.318056,2.318056,5.820833,13.95,13.950695,13.950695,39.252083,41.758335,51.73611,52.127773,58.630554,58.630554,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-5.627778,4.575,2485812990,0.278751,2.603685,0.071949,-3.840531,0,0,0,0,0,0,0,0.876389,1.159028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001801,-0.000358,0.002841,0.003813,0.006017,4.6,0.143994,4.751389,4.751389,4.751389,4.751389,4.751389,4.751389,4.751389,4.751389,6.680555,9.130555,9.130555,13.950695,39.252083,41.758335,51.73611,52.127773,58.630554,58.630554,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-8.609028,4.65,1730137600,0.280552,2.611893,0.071609,-3.809837,0,0,0,0,0,0,0,0,1.441667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002508,-0.001787,0.003551,0.004144,0.005008,4.6,0.144354,7.84375,7.84375,7.84375,7.84375,7.84375,7.84375,7.84375,7.84375,7.84375,10.538194,10.538194,13.950695,39.252083,41.758335,51.73611,52.127773,58.630554,58.630554,41.122917,41.122917,257.63474,317.9257,347.80417,83.26805,83.26805,0,-8.852778,4.725,1784750720,0.28019,2.609705,0.073649,-3.814055,0,0,0,0,0,0,0,0,0,0,3.857639,3.857639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
