@relation 'trafico2011_15ming'

@attribute intensidad numeric
@attribute tocup numeric
@attribute vmed numeric
@attribute gap numeric
@attribute congestion {0,1}

@data
106,3,57,47,0
107,4,56,47,0
96,3,56,51,0
77,2,57,43,0
79,2,57,52,0
44,1,57,50,0
46,1,57,39,0
50,1,58,39,0
49,1,56,35,0
35,0,58,37,0
37,1,57,54,0
33,0,58,33,0
29,0,57,60,0
30,1,57,33,0
36,1,56,31,0
23,0,59,37,0
33,0,56,23,0
19,0,57,0,0
18,0,57,9,0
27,0,55,16,0
30,0,58,29,0
28,0,57,27,0
36,1,59,28,0
35,1,57,45,0
45,1,56,40,0
42,1,56,50,0
61,1,58,46,0
75,2,57,47,0
78,2,58,48,0
80,2,59,45,0
94,3,57,46,0
110,4,57,52,0
103,3,60,52,0
84,3,59,50,0
80,2,58,54,0
115,4,58,48,0
117,4,58,44,0
116,4,59,47,0
150,5,60,47,0
181,7,56,40,0
174,7,57,44,0
226,9,57,39,0
261,11,55,35,0
299,13,52,28,0
311,14,52,29,0
296,13,54,35,0
367,17,51,27,0
346,15,52,30,0
334,14,54,32,0
325,14,53,32,0
344,14,54,30,0
322,14,54,32,0
360,15,53,31,0
320,13,54,32,0
361,15,55,32,0
338,15,52,32,0
325,13,53,33,0
312,13,54,35,0
331,14,54,34,0
284,11,55,36,0
219,9,56,46,0
255,10,55,39,0
231,9,55,38,0
236,9,56,39,0
190,7,58,41,0
218,9,56,36,0
274,11,55,37,0
283,12,55,35,0
300,13,54,32,0
330,14,53,31,0
326,14,52,31,0
333,15,52,33,0
369,17,51,28,0
400,20,48,25,0
396,21,45,22,0
426,23,45,22,0
418,21,47,22,0
411,26,40,19,0
415,25,41,19,0
422,25,42,19,0
326,14,52,33,0
314,14,52,35,0
309,13,51,35,0
308,13,52,34,0
292,12,52,32,0
258,11,53,39,0
247,10,54,38,0
203,8,55,39,0
182,7,55,43,0
184,7,56,44,0
151,5,56,44,0
138,5,56,52,0
107,4,57,49,0
99,3,56,51,0
98,3,57,51,0
88,3,57,35,0
50,1,59,41,0
60,2,57,39,0
54,1,58,42,0
39,1,62,36,0
29,0,59,43,0
40,1,61,50,0
18,0,62,17,0
19,0,60,14,0
11,0,57,23,0
16,0,60,6,0
14,0,58,7,0
11,0,57,38,0
7,0,54,16,0
10,0,57,7,0
10,0,55,43,0
4,0,57,0,0
10,0,55,26,0
14,0,63,34,0
6,0,56,0,0
16,0,62,0,0
14,0,58,21,0
23,0,58,18,0
35,1,58,33,0
54,1,60,48,0
83,2,60,50,0
97,3,57,48,0
173,7,55,44,0
325,15,51,29,0
381,18,49,26,0
458,31,38,16,0
447,39,29,11,0
457,26,42,18,1
445,47,25,9,0
433,25,40,19,0
455,39,30,12,0
474,32,35,14,0
456,28,40,17,0
452,45,24,9,0
455,31,36,15,1
458,41,28,10,0
369,17,50,28,0
339,16,51,31,0
441,31,35,15,0
426,28,37,17,0
350,16,50,28,0
397,22,43,22,1
402,29,37,18,0
367,16,51,28,0
353,16,51,30,0
393,18,50,26,0
455,27,40,17,0
462,30,39,16,0
453,33,35,15,0
392,17,51,28,0
372,17,50,28,1
466,35,34,13,1
445,40,31,12,1
440,40,31,13,1
421,50,23,8,1
413,49,23,8,1
435,50,23,7,1
444,49,24,8,1
446,52,22,7,1
422,49,22,8,1
421,41,29,12,0
354,17,49,29,0
455,29,39,17,0
481,30,40,16,0
397,21,46,24,0
388,18,50,27,0
399,19,48,25,1
452,42,29,11,1
415,42,25,10,0
422,42,26,11,1
361,48,20,9,1
432,39,28,11,1
384,49,20,8,0
400,43,23,9,1
398,46,23,9,1
388,50,20,8,0
377,31,29,14,0
436,26,40,18,1
353,42,27,13,0
309,13,52,34,0
298,13,51,36,0
279,12,52,38,0
281,12,52,37,0
207,8,54,45,0
208,8,54,45,0
247,10,54,39,0
172,7,53,44,0
127,4,55,50,0
96,3,57,52,0
90,3,57,49,0
89,3,57,54,0
61,2,58,60,0
62,2,59,44,0
55,2,56,55,0
55,1,57,46,0
29,0,60,58,0
27,0,59,33,0
27,0,58,30,0
15,0,60,15,0
19,0,61,14,0
16,0,59,3,0
14,0,59,0,0
10,0,55,0,0
19,0,58,22,0
13,0,58,11,0
7,0,56,0,0
11,0,58,18,0
10,0,60,0,0
11,0,52,29,0
14,0,58,6,0
17,0,56,11,0
13,0,61,0,0
8,0,54,0,0
23,0,57,15,0
30,0,57,17,0
48,1,59,68,0
70,2,56,56,0
97,3,56,53,0
176,7,54,39,0
311,14,51,32,0
344,16,50,28,0
376,25,39,20,1
343,46,24,10,1
288,54,17,8,1
423,32,34,15,0
400,34,31,14,1
399,47,22,8,1
386,47,22,8,1
424,35,31,13,1
325,52,22,9,1
328,48,21,9,1
334,47,21,9,1
369,48,24,9,0
386,24,40,21,0
303,13,54,36,0
316,14,51,32,0
317,13,53,34,0
322,14,53,33,0
337,15,52,31,0
432,22,47,22,0
444,25,44,20,0
434,23,47,22,0
460,29,39,16,0
445,23,47,21,0
449,28,40,18,0
382,17,51,28,0
387,17,52,28,0
399,18,50,27,0
370,16,51,29,0
421,22,46,22,1
423,50,22,8,1
475,46,26,8,1
441,46,26,9,1
470,40,30,11,1
459,42,29,11,0
386,22,44,24,0
442,24,45,19,0
458,24,45,21,1
442,29,38,17,0
412,21,47,24,0
454,33,35,15,0
369,17,50,28,0
409,20,48,25,1
462,35,34,13,1
423,33,33,15,1
469,40,30,11,1
443,47,24,8,1
245,65,18,8,1
147,69,16,9,1
194,68,17,7,1
185,70,15,7,1
384,52,21,8,1
403,50,22,8,1
406,42,27,11,1
301,50,24,10,0
344,20,45,26,0
418,22,44,22,1
387,26,39,20,1
387,23,41,22,0
280,12,51,36,0
266,12,51,36,0
284,12,51,34,0
249,10,53,37,0
179,8,51,43,0
165,7,53,46,0
105,3,58,48,0
112,4,57,51,0
87,3,57,50,0
75,2,59,52,0
56,1,57,43,1
62,2,55,55,0
34,1,58,29,0
32,0,60,11,0
40,1,57,38,0
28,0,59,33,0
19,0,59,15,0
24,0,58,29,0
25,0,57,24,0
16,0,58,33,0
9,0,60,10,0
6,0,64,0,0
15,0,56,0,0
13,0,58,18,0
11,0,61,40,0
12,0,55,0,0
17,0,62,9,0
13,0,57,8,0
15,0,60,4,0
16,0,59,9,0
25,0,58,28,0
34,1,56,39,0
66,2,57,48,0
75,2,58,44,0
86,3,56,47,0
183,7,55,46,0
293,13,52,35,0
340,16,48,29,0
423,25,42,19,0
442,37,30,12,1
457,37,31,12,0
442,36,30,12,0
396,18,49,26,0
430,41,26,10,0
403,27,36,18,0
427,34,32,14,0
411,39,26,11,1
402,31,35,17,0
371,25,37,20,0
372,20,44,25,0
391,30,33,16,0
377,24,39,21,0
376,24,38,21,0
318,15,50,33,0
317,14,50,33,0
346,16,50,30,0
372,28,38,21,0
434,36,29,12,0
376,22,42,23,1
