FECHA,T_Max,T_Med,T_Min,H_R_Max,H_R_Med,H_R_Min,Radiacion,Lluvia,V_Max,V_Med,V_Min,CV1,CV2,CV3,CV4,Direccion
2016-01-01 00:00:00,15.390,11.08790,7.802,99.700,94.6292,86.800,0.26891,2.300,27.800,6.45838,0.000,323,78,679,356,4.00000
2016-01-02 00:00:00,14.900,11.19170,8.040,98.000,91.784350,58.360,0.306096,0.000,9.490,1.49933,0.000,218,154,510,554,4.00000
2016-01-03 00:00:00,14.900,10.44920,7.903,99.600,91.784350,86.000,0.203394,2.000,24.170,4.09504,0.000,467,249,661,57,4.00000
2016-01-04 00:00:00,16.810,14.00170,11.970,96.700,86.6283,72.240,0.177185,1.500,30.450,11.5192,2.505,0,4,1403,26,3.00000
2016-01-05 00:00:00,14.410,10.02360,5.676,98.100,82.4688,59.730,0.340797,5.700,24.030,4.972,0.000,166,1,426,830,4.00000
2016-01-06 00:00:00,15.560,9.78583,3.201,98.800,83.8958,66.180,0.368454,0.000,18.030,3.91158,0.000,128,36,988,286,4.00000
2016-01-07 00:00:00,16.510,12.58750,9.400,95.600,89.6442,79.060,0.198473,0.000,21.520,4.09454,0.000,132,252,1016,33,4.00000
2016-01-08 00:00:00,16.370,14.04330,12.140,97.900,85.6312,76.240,0.127152,0.700,23.280,7.539,0.000,0,192,1246,0,3.00000
2016-01-09 00:00:00,16.370,12.26860,6.793,98.400,84.2000,61.960,0.424192,5.600,23.850,6.67683,0.000,16,28,1200,192,4.00000
2016-01-10 00:00:00,17.560,14.79210,13.250,90.500,82.6633,71.990,0.337809,1.500,32.630,12.3087,3.246,0,36,1400,3,3.00000
2016-01-11 00:00:00,15.900,12.60290,7.643,97.700,89.2288,75.020,0.208657,5.700,33.200,7.82375,0.000,84,24,956,368,4.00000
2016-01-12 00:00:00,16.340,9.12504,3.642,98.400,81.6871,52.950,0.44797,0.200,14.990,2.60333,0.000,643,17,49,709,4.00000
2016-01-13 00:00:00,18.200,10.71250,6.355,95.700,76.5800,51.020,0.442501,0.000,10.940,2.60708,0.000,916,100,143,257,4.00000
2016-01-14 00:00:00,15.490,10.06210,5.439,97.700,91.1771,76.990,0.219068,0.000,6.668,1.02242,0.000,708,199,370,155,4.00000
2016-01-15 00:00:00,15.560,11.30860,7.508,97.000,79.6787,62.730,0.46638,0.100,22.510,5.09583,0.000,315,2,220,885,4.00000
2016-01-16 00:00:00,15.020,8.65108,4.083,88.900,65.3500,32.250,0.501511,0.000,17.780,3.94575,0.000,1184,47,19,177,4.00000
2016-01-17 00:00:00,15.320,8.76979,4.286,89.100,68.0608,50.250,0.331137,0.000,9.770,2.52267,0.000,768,35,127,496,4.00000
2016-01-18 00:00:00,17.360,10.43900,5.710,96.200,85.8937,66.960,0.356939,0.000,13.370,2.05504,0.000,142,123,587,576,4.00000
2016-01-19 00:00:00,15.390,9.01992,3.405,99.000,90.463550,64.510,0.352819,0.100,10.440,1.67067,0.000,378,315,313,427,4.00000
2016-01-20 00:00:00,15.390,9.59908,5.507,99.500,90.463550,72.140,0.337608,4.800,11.360,2.29237,0.000,833,249,224,131,4.00000
2016-01-21 00:00:00,8.010,6.50992,5.559,100.000,99.6750,98.800,0.0961905,2.000,11.920,1.60721,0.000,1056,174,24,182,4.00000
2016-01-22 00:00:00,14.410,8.49050,4.881,100.000,91.7750,73.960,0.226818,0.100,9.740,2.16692,0.000,1262,20,0,143,4.00000
2016-01-23 00:00:00,17.830,11.16240,7.127,95.800,85.3800,65.010,0.444662,0.000,12.310,2.18421,0.000,439,252,301,432,4.00000
2016-01-24 00:00:00,15.115,9.99387,4.422,98.600,88.526050,64.440,0.405027,0.100,14.110,1.41404,0.000,770,371,164,133,4.00000
2016-01-25 00:00:00,15.115,8.95300,4.354,98.900,88.526050,74.480,0.278996,0.400,13.300,1.93358,0.000,551,120,272,491,4.00000
2016-01-26 00:00:00,14.000,7.91483,4.588,99.200,88.4488,62.050,0.369785,0.200,16.480,3.497,0.000,289,0,269,868,4.00000
2016-01-27 00:00:00,15.050,8.08362,2.998,98.900,88.0979,67.190,0.500211,0.200,9.880,1.91562,0.000,249,129,311,740,4.00000
2016-01-28 00:00:00,13.800,6.96012,3.235,99.100,92.9021,69.200,0.232236,0.300,6.139,1.26921,0.000,498,93,240,596,4.00000
2016-01-29 00:00:00,14.710,8.00417,3.540,98.200,84.9896,59.910,0.520806,0.300,16.900,3.44762,0.000,323,14,113,971,4.00000
2016-01-30 00:00:00,17.660,10.00040,4.151,95.400,79.3508,49.930,0.51745,0.000,12.630,3.33021,0.000,316,2,164,939,4.00000
2016-01-31 00:00:00,18.580,11.09030,4.557,94.200,78.3204,54.930,0.529,0.000,19.020,3.88904,0.000,344,0,233,846,4.00000
