Gene stable ID	UniProtKB/Swiss-Prot ID
ENSMUSG00000064341	P03888
ENSMUSG00000064345	P03893
ENSMUSG00000064351	P00397
ENSMUSG00000064354	P00405
ENSMUSG00000064356	P03930
ENSMUSG00000064357	P00848
ENSMUSG00000064358	P00416
ENSMUSG00000064360	P03899
ENSMUSG00000065947	P03903
ENSMUSG00000064363	P03911
ENSMUSG00000064367	P03921
ENSMUSG00000064368	P03925
ENSMUSG00000064370	P00158
ENSMUSG00000078254	A2A5X4
ENSMUSG00000044814	
ENSMUSG00000044537	
ENSMUSG00000043948	
ENSMUSG00000100231	
ENSMUSG00000033508	Q09PK2
ENSMUSG00000114755	O88853
ENSMUSG00000049530	
ENSMUSG00000054667	Q9Z0Y7
ENSMUSG00000048138	Q8BG36
ENSMUSG00000042462	Q9QY93
ENSMUSG00000090291	
ENSMUSG00000078253	A2A5X5
ENSMUSG00000078670	Q8K064
ENSMUSG00000073906	
ENSMUSG00000078670	
ENSMUSG00000019851	Q9JK95
ENSMUSG00000020803	Q9CQM5
ENSMUSG00000078605	
ENSMUSG00000094735	
ENSMUSG00000042213	
ENSMUSG00000030124	Q61790
ENSMUSG00000059423	
ENSMUSG00000017311	
ENSMUSG00000106893	
ENSMUSG00000049091	P97364
ENSMUSG00000075197	
ENSMUSG00000115072	
ENSMUSG00000017311	Q9EPS2
ENSMUSG00000075196	
ENSMUSG00000075700	P62342
ENSMUSG00000020080	Q91W97
ENSMUSG00000043925	
ENSMUSG00000042213	D3Z3C6
ENSMUSG00000044912	Q7TN83
ENSMUSG00000006378	O88986
ENSMUSG00000061614	
ENSMUSG00000006378	
ENSMUSG00000044912	
ENSMUSG00000037661	Q3U3F9
ENSMUSG00000034738	Q6WKZ7
ENSMUSG00000028337	
ENSMUSG00000105078	
ENSMUSG00000030122	Q9D0J8
ENSMUSG00000028337	Q8C0P5
ENSMUSG00000070891	
ENSMUSG00000044824	
ENSMUSG00000046761	Q148V8
ENSMUSG00000058692	
ENSMUSG00000037661	
ENSMUSG00000046761	
ENSMUSG00000116378	
ENSMUSG00000115466	
ENSMUSG00000047181	Q8K070
ENSMUSG00000050121	Q7M750
ENSMUSG00000030086	Q91VN4
ENSMUSG00000036572	
ENSMUSG00000026622	O35942
ENSMUSG00000103290	
ENSMUSG00000021258	
ENSMUSG00000047980	
ENSMUSG00000029919	Q9JHF7
ENSMUSG00000030086	
ENSMUSG00000047181	
ENSMUSG00000001156	
ENSMUSG00000059821	
ENSMUSG00000087075	
ENSMUSG00000102018	
ENSMUSG00000039742	Q3UZD7
ENSMUSG00000027166	Q91ZF0
ENSMUSG00000028593	Q8BM81
ENSMUSG00000039742	
ENSMUSG00000041961	Q5SSZ7
ENSMUSG00000028167	
ENSMUSG00000054484	Q8BXJ9
ENSMUSG00000027983	Q9CX98
ENSMUSG00000070471	D3Z6S9
ENSMUSG00000027166	
ENSMUSG00000041961	
ENSMUSG00000028167	Q8JZV9
ENSMUSG00000054484	
ENSMUSG00000036218	
ENSMUSG00000028334	Q99J77
ENSMUSG00000078506	
ENSMUSG00000019194	P97952
ENSMUSG00000028451	
ENSMUSG00000030774	
ENSMUSG00000102388	
ENSMUSG00000028703	Q8K1C9
ENSMUSG00000028451	Q3V0E1
ENSMUSG00000070609	
ENSMUSG00000036915	Q7TSU7
ENSMUSG00000024411	
ENSMUSG00000036915	
ENSMUSG00000025789	O35696
ENSMUSG00000025789	
ENSMUSG00000067684	Q9D3H2
ENSMUSG00000090751	
ENSMUSG00000053211	P10925
ENSMUSG00000055415	
ENSMUSG00000026475	P97428
ENSMUSG00000028999	
ENSMUSG00000068149	
ENSMUSG00000039853	Q8BVW3
ENSMUSG00000046324	Q3UVK0
ENSMUSG00000024411	P55088
ENSMUSG00000032897	P70353
ENSMUSG00000051730	Q8K1A0
ENSMUSG00000036800	Q9DAI6
ENSMUSG00000020387	Q6ZQF7
ENSMUSG00000020387	
ENSMUSG00000100249	
ENSMUSG00000032666	Q8K207
ENSMUSG00000036432	Q06986
ENSMUSG00000051730	
ENSMUSG00000020658	Q6ZQ18
ENSMUSG00000022246	Q9EP71
ENSMUSG00000029867	Q9D9P8
ENSMUSG00000020658	
ENSMUSG00000022246	
ENSMUSG00000062511	
ENSMUSG00000062103	
ENSMUSG00000032009	
ENSMUSG00000036800	
ENSMUSG00000035441	Q5SYD0
ENSMUSG00000046324	
ENSMUSG00000020163	Q9CPX8
ENSMUSG00000028001	E9PV24
ENSMUSG00000032897	
ENSMUSG00000038733	
ENSMUSG00000032666	
ENSMUSG00000095508	
ENSMUSG00000009734	
ENSMUSG00000038975	
ENSMUSG00000063507	
ENSMUSG00000075156	
ENSMUSG00000079521	
ENSMUSG00000032009	Q9CYP7
ENSMUSG00000026248	Q9CY73
ENSMUSG00000020160	Q60954
ENSMUSG00000020160	
ENSMUSG00000050953	P23242
ENSMUSG00000020392	Q9D211
ENSMUSG00000050953	
ENSMUSG00000020392	
ENSMUSG00000032691	Q8R4B8
ENSMUSG00000101860	
ENSMUSG00000038733	Q8C6G8
ENSMUSG00000032680	
ENSMUSG00000032691	
ENSMUSG00000091618	
ENSMUSG00000039221	Q9D7S7
ENSMUSG00000024842	Q8VHC5
ENSMUSG00000091618	B1B213
ENSMUSG00000020121	Q91Z69
ENSMUSG00000028452	Q01853
ENSMUSG00000035451	P35582
ENSMUSG00000067679	A2AEP0
ENSMUSG00000039221	
ENSMUSG00000020121	
ENSMUSG00000044724	Q8BXS7
ENSMUSG00000096426	
ENSMUSG00000022574	Q8CC86
ENSMUSG00000022574	
ENSMUSG00000042248	P56654
ENSMUSG00000040029	Q7TMY7
ENSMUSG00000028999	Q8BZ36
ENSMUSG00000020189	B9EJ86
ENSMUSG00000040029	
ENSMUSG00000074647	A2ARK0
ENSMUSG00000021770	Q9DA37
ENSMUSG00000055960	A7TZF3
ENSMUSG00000101915	
ENSMUSG00000067925	
ENSMUSG00000059610	
ENSMUSG00000001134	Q9WTZ0
ENSMUSG00000050107	
ENSMUSG00000028248	
ENSMUSG00000021770	
ENSMUSG00000067924	
ENSMUSG00000020189	
ENSMUSG00000094319	
ENSMUSG00000028702	P70270
ENSMUSG00000028248	A2AJT4
ENSMUSG00000022262	Q8VHE6
ENSMUSG00000031482	Q9WVD5
ENSMUSG00000045210	
ENSMUSG00000018654	
ENSMUSG00000055960	
ENSMUSG00000078252	
ENSMUSG00000094298	
ENSMUSG00000100296	
ENSMUSG00000068882	P32067
ENSMUSG00000101578	
ENSMUSG00000036087	Q8CI08
ENSMUSG00000051736	Q8CF36
ENSMUSG00000067225	Q6XVG2
ENSMUSG00000081607	
ENSMUSG00000068882	
ENSMUSG00000078505	
ENSMUSG00000020528	Q8R574
ENSMUSG00000095753	
ENSMUSG00000030613	Q8C3X2
ENSMUSG00000039795	Q8BFR6
ENSMUSG00000036087	
ENSMUSG00000094993	
ENSMUSG00000009406	P41969
ENSMUSG00000026073	
ENSMUSG00000039795	
ENSMUSG00000020056	Q9CR27
ENSMUSG00000054672	
ENSMUSG00000076562	
ENSMUSG00000021768	Q9QYJ7
ENSMUSG00000048806	P01575
ENSMUSG00000020056	
ENSMUSG00000040456	Q9CR04
ENSMUSG00000051736	
ENSMUSG00000005686	O08739
ENSMUSG00000047735	
ENSMUSG00000048994	
ENSMUSG00000095896	
ENSMUSG00000070868	A7TZF0
ENSMUSG00000096011	
ENSMUSG00000006386	
ENSMUSG00000067525	
ENSMUSG00000095270	P09235
ENSMUSG00000005686	
ENSMUSG00000022235	
ENSMUSG00000035592	Q8K0Y2
ENSMUSG00000027613	O55135
ENSMUSG00000023307	Q3KNM2
ENSMUSG00000026073	P27931
ENSMUSG00000022235	Q8R1G2
ENSMUSG00000023307	
ENSMUSG00000027613	
ENSMUSG00000021768	
ENSMUSG00000026771	Q2M2N2
ENSMUSG00000005621	Q8BHZ4
ENSMUSG00000049972	A7TZG3
ENSMUSG00000006386	Q02858
ENSMUSG00000030788	
ENSMUSG00000033287	
ENSMUSG00000026771	
ENSMUSG00000024729	
ENSMUSG00000038267	
ENSMUSG00000024772	Q9WVK4
ENSMUSG00000040170	Q8K2I3
ENSMUSG00000024518	
ENSMUSG00000038267	Q3UHH2
ENSMUSG00000038498	Q91ZR5
ENSMUSG00000094905	
ENSMUSG00000073643	E9Q4P1
ENSMUSG00000038498	
ENSMUSG00000040170	
ENSMUSG00000023443	
ENSMUSG00000019146	O88602
ENSMUSG00000029866	Q9EQF2
ENSMUSG00000037406	A2RT60
ENSMUSG00000038975	P53612
ENSMUSG00000029866	
ENSMUSG00000026820	Q8BWM0
ENSMUSG00000099792	
ENSMUSG00000024518	O35602
ENSMUSG00000075195	
ENSMUSG00000021768	Q6B8I0
ENSMUSG00000026820	
ENSMUSG00000041735	
ENSMUSG00000029821	
ENSMUSG00000073643	
ENSMUSG00000095081	
ENSMUSG00000069053	P31254
