Gene stable ID	Caenorhabditis elegans gene stable ID	Caenorhabditis elegans orthology confidence [0 low, 1 high]
ENSMUSG00000064372		
ENSMUSG00000064371		
ENSMUSG00000064370	WBGene00000829	0
ENSMUSG00000064369		
ENSMUSG00000064368		
ENSMUSG00000064367	WBGene00010967	1
ENSMUSG00000064366		
ENSMUSG00000064365		
ENSMUSG00000064364		
ENSMUSG00000064363	WBGene00010963	0
ENSMUSG00000065947		
ENSMUSG00000064361		
ENSMUSG00000064360		
ENSMUSG00000064359		
ENSMUSG00000064358	WBGene00010962	0
ENSMUSG00000064357		
ENSMUSG00000064356		
ENSMUSG00000064355		
ENSMUSG00000064354	WBGene00010965	0
ENSMUSG00000064353		
ENSMUSG00000064352		
ENSMUSG00000064351	WBGene00010964	0
ENSMUSG00000064350		
ENSMUSG00000064349		
ENSMUSG00000064348		
ENSMUSG00000064347		
ENSMUSG00000064346		
ENSMUSG00000064345		
ENSMUSG00000064344		
ENSMUSG00000064343		
ENSMUSG00000064342		
ENSMUSG00000064341	WBGene00010959	1
ENSMUSG00000064340		
ENSMUSG00000064339		
ENSMUSG00000064338		
ENSMUSG00000064337		
ENSMUSG00000064336		
ENSMUSG00000085805		
ENSMUSG00000112742		
ENSMUSG00000085302		
ENSMUSG00000096607		
ENSMUSG00000076855		
ENSMUSG00000096755		
ENSMUSG00000028101	WBGene00001574	0
ENSMUSG00000094562		
ENSMUSG00000110246		
ENSMUSG00000042354	WBGene00013001	0
ENSMUSG00000112632		
ENSMUSG00000004446		
ENSMUSG00000094212		
ENSMUSG00000116190		
ENSMUSG00000063548		
ENSMUSG00000109840		
ENSMUSG00000105090		
ENSMUSG00000109831		
ENSMUSG00000112387		
ENSMUSG00000076858		
ENSMUSG00000067352		
ENSMUSG00000027379	WBGene00004721	0
ENSMUSG00000027379	WBGene00000275	0
ENSMUSG00000112482		
ENSMUSG00000105380		
ENSMUSG00000112435		
ENSMUSG00000087666		
ENSMUSG00000112208		
ENSMUSG00000035683	WBGene00021012	1
ENSMUSG00000109944		
ENSMUSG00000096397		
ENSMUSG00000087337		
ENSMUSG00000109691		
ENSMUSG00000076861		
ENSMUSG00000110078		
ENSMUSG00000024346	WBGene00007443	1
ENSMUSG00000085223		
ENSMUSG00000109898		
ENSMUSG00000025364	WBGene00000155	0
ENSMUSG00000025364	WBGene00021555	0
ENSMUSG00000086139		
ENSMUSG00000116237		
ENSMUSG00000110085		
ENSMUSG00000015437		
ENSMUSG00000109897		
ENSMUSG00000098905		
ENSMUSG00000107971		
ENSMUSG00000110004		
ENSMUSG00000108125		
ENSMUSG00000009112		
ENSMUSG00000110163		
ENSMUSG00000116493		
ENSMUSG00000104310		
ENSMUSG00000110113		
ENSMUSG00000109823		
ENSMUSG00000038331		
ENSMUSG00000046130		
ENSMUSG00000111961		
ENSMUSG00000028460		
ENSMUSG00000112832		
ENSMUSG00000091805		
ENSMUSG00000060918		
ENSMUSG00000118510		
ENSMUSG00000051295		
ENSMUSG00000108698		
ENSMUSG00000019139	WBGene00012148	0
ENSMUSG00000101344		
ENSMUSG00000059397		
ENSMUSG00000041445		
ENSMUSG00000100301		
ENSMUSG00000097470		
ENSMUSG00000097615		
ENSMUSG00000105262		
ENSMUSG00000026614		
ENSMUSG00000024897	WBGene00002999	0
ENSMUSG00000073794		
ENSMUSG00000104774		
ENSMUSG00000084188		
ENSMUSG00000105299		
ENSMUSG00000114820		
ENSMUSG00000085987		
ENSMUSG00000115420		
ENSMUSG00000048280		
ENSMUSG00000028461		
ENSMUSG00000086904		
ENSMUSG00000043537		
ENSMUSG00000094105		
ENSMUSG00000017776	WBGene00000416	1
ENSMUSG00000102107		
ENSMUSG00000110443		
ENSMUSG00000105307		
ENSMUSG00000103154		
ENSMUSG00000101057		
ENSMUSG00000103193		
ENSMUSG00000103181		
ENSMUSG00000081127		
ENSMUSG00000106990		
ENSMUSG00000105364		
ENSMUSG00000103929		
ENSMUSG00000099391		
ENSMUSG00000087461		
ENSMUSG00000112492		
ENSMUSG00000062061		
ENSMUSG00000024576	WBGene00002202	1
ENSMUSG00000108502		
ENSMUSG00000103413		
ENSMUSG00000029310	WBGene00003583	1
ENSMUSG00000102185		
ENSMUSG00000113662		
ENSMUSG00000094205		
ENSMUSG00000043340		
ENSMUSG00000021103	WBGene00018769	0
ENSMUSG00000084115		
ENSMUSG00000106959		
ENSMUSG00000024486		
ENSMUSG00000047221		
ENSMUSG00000083107		
ENSMUSG00000104578		
ENSMUSG00000083195		
ENSMUSG00000105479		
