Gene stable ID	Human gene stable ID	Human orthology confidence [0 low, 1 high]
ENSMUSG00000064372		
ENSMUSG00000064371		
ENSMUSG00000064370	ENSG00000198727	1
ENSMUSG00000064369		
ENSMUSG00000064368	ENSG00000198695	1
ENSMUSG00000064367	ENSG00000198786	1
ENSMUSG00000064366		
ENSMUSG00000064365		
ENSMUSG00000064364		
ENSMUSG00000064363	ENSG00000198886	1
ENSMUSG00000065947	ENSG00000212907	1
ENSMUSG00000064361		
ENSMUSG00000064360	ENSG00000198840	1
ENSMUSG00000064359		
ENSMUSG00000064358	ENSG00000198938	1
ENSMUSG00000064357	ENSG00000198899	1
ENSMUSG00000064356	ENSG00000228253	0
ENSMUSG00000064355		
ENSMUSG00000064354	ENSG00000198712	1
ENSMUSG00000064353		
ENSMUSG00000064352		
ENSMUSG00000064351	ENSG00000198804	1
ENSMUSG00000064350		
ENSMUSG00000064349		
ENSMUSG00000064348		
ENSMUSG00000064347		
ENSMUSG00000064346		
ENSMUSG00000064345	ENSG00000198763	1
ENSMUSG00000064344		
ENSMUSG00000064343		
ENSMUSG00000064342		
ENSMUSG00000064341	ENSG00000198888	1
ENSMUSG00000064340		
ENSMUSG00000064339		
ENSMUSG00000064338		
ENSMUSG00000064337		
ENSMUSG00000064336		
ENSMUSG00000085805		
ENSMUSG00000112742		
ENSMUSG00000085302		
ENSMUSG00000096607		
ENSMUSG00000076855	ENSG00000211799	0
ENSMUSG00000096755		
ENSMUSG00000028101	ENSG00000131788	1
ENSMUSG00000094562	ENSG00000211802	0
ENSMUSG00000110246		
ENSMUSG00000042354	ENSG00000163938	1
ENSMUSG00000112632		
ENSMUSG00000004446	ENSG00000015475	1
ENSMUSG00000094212	ENSG00000211803	0
ENSMUSG00000116190		
ENSMUSG00000063548		
ENSMUSG00000109840		
ENSMUSG00000105090		
ENSMUSG00000109831		
ENSMUSG00000112387		
ENSMUSG00000076858	ENSG00000211779	0
ENSMUSG00000067352		
ENSMUSG00000027379	ENSG00000169679	1
ENSMUSG00000112482		
ENSMUSG00000105380		
ENSMUSG00000112435		
ENSMUSG00000087666	ENSG00000211802	0
ENSMUSG00000112208		
ENSMUSG00000035683	ENSG00000165304	1
ENSMUSG00000109944		
ENSMUSG00000096397		
ENSMUSG00000087337		
ENSMUSG00000109691		
ENSMUSG00000076861	ENSG00000211809	1
ENSMUSG00000110078		
ENSMUSG00000024346	ENSG00000113068	1
ENSMUSG00000085223		
ENSMUSG00000109898		
ENSMUSG00000025364	ENSG00000257411	0
ENSMUSG00000025364	ENSG00000170515	1
ENSMUSG00000086139		
ENSMUSG00000116237		
ENSMUSG00000110085		
ENSMUSG00000015437	ENSG00000100453	1
ENSMUSG00000109897		
ENSMUSG00000098905	ENSG00000214652	0
ENSMUSG00000098905	ENSG00000181450	0
ENSMUSG00000098905	ENSG00000105750	0
ENSMUSG00000098905	ENSG00000196172	0
ENSMUSG00000098905	ENSG00000234444	0
ENSMUSG00000098905	ENSG00000196081	0
ENSMUSG00000098905	ENSG00000197472	0
ENSMUSG00000098905	ENSG00000197124	0
ENSMUSG00000107971		
ENSMUSG00000110004		
ENSMUSG00000108125		
ENSMUSG00000009112	ENSG00000099968	1
ENSMUSG00000110163		
ENSMUSG00000116493		
ENSMUSG00000104310		
ENSMUSG00000110113		
ENSMUSG00000109823		
ENSMUSG00000038331	ENSG00000119042	1
ENSMUSG00000046130		
ENSMUSG00000111961		
ENSMUSG00000028460	ENSG00000137078	1
ENSMUSG00000112832		
ENSMUSG00000091805		
ENSMUSG00000060918		
ENSMUSG00000118510		
ENSMUSG00000051295		
ENSMUSG00000108698		
ENSMUSG00000019139	ENSG00000105655	1
ENSMUSG00000101344		
ENSMUSG00000059397		
ENSMUSG00000041445	ENSG00000173269	1
ENSMUSG00000100301		
ENSMUSG00000097470		
ENSMUSG00000097615		
ENSMUSG00000105262		
ENSMUSG00000026614	ENSG00000196660	1
ENSMUSG00000024897	ENSG00000107282	1
ENSMUSG00000073794		
ENSMUSG00000104774		
ENSMUSG00000084188		
ENSMUSG00000105299		
ENSMUSG00000114820		
ENSMUSG00000085987		
ENSMUSG00000115420		
ENSMUSG00000048280	ENSG00000214652	0
ENSMUSG00000048280	ENSG00000181450	0
ENSMUSG00000048280	ENSG00000105750	0
ENSMUSG00000048280	ENSG00000196172	0
ENSMUSG00000048280	ENSG00000234444	0
ENSMUSG00000048280	ENSG00000196081	0
ENSMUSG00000048280	ENSG00000197472	0
ENSMUSG00000048280	ENSG00000197124	0
